word,pos,var,shaw,ipa,verdict,shaw_override,pos_override,var_override,ipa_override,source,status,confidence,notes
a closed mouth gathers no feet,UNC,GenAm,𐑩 𐑒𐑤𐑴𐑟𐑛 𐑥𐑬𐑔 𐑜𐑨𐑞𐑼𐑟 𐑯𐑴 𐑓𐑰𐑑,ə ˈkloʊzd ˌmaʊθ ˈɡæðəRz noʊ ˈfiːt,drop,,,,,wiktionary,new,97,shave_agrees
a closed mouth gathers no feet,UNC,RSSB,𐑩 𐑒𐑤𐑴𐑟𐑛 𐑥𐑬𐑔 𐑜𐑨𐑞𐑼𐑟 𐑯𐑴 𐑓𐑰𐑑,ə ˈkləʊzd ˌmaʊθ ɡæðəRz nəʊ ˈfiːt,drop,,,,,wiktionary,new,97,shave_agrees
a friend in need is a friend indeed,UNC,RSSB,𐑩 𐑓𐑮𐑧𐑯𐑛 𐑦𐑯 𐑯𐑰𐑛 𐑦𐑟 𐑩 𐑓𐑮𐑧𐑯𐑛 𐑦𐑯𐑛𐑰𐑛,ə ˌfrend ɪn ˈniːd ɪz ə ˌfrend ɪnˈdiːd,drop,,,,,wiktionary,new,97,shave_agrees
a little bird told me,UNC,RSSB,𐑩 𐑤𐑦𐑑𐑩𐑤 𐑚𐑻𐑛 𐑑𐑴𐑤𐑛 𐑥𐑰,ə ˌlɪtəl bɜːRd ˈtəʊld miː,drop,,,,,wiktionary,new,97,shave_agrees
a lottle,AV0,GenAm,𐑩 𐑤𐑪𐑑𐑩𐑤,ə ˈlɒtəl,drop,,,,,wiktionary,new,97,shave_agrees
a whole nother,DT0,GenAm,𐑩 𐑣𐑴𐑤 𐑯𐑳𐑞𐑼,ə ˈhoʊl ˌnʌðər,drop,,,,,wiktionary,new,97,shave_agrees
a whole nother,DT0,RSSB,𐑩 𐑣𐑴𐑤 𐑯𐑳𐑞𐑼,ə ˈhəʊl nʌðəR,drop,,,,,wiktionary,new,97,shave_agrees
a woman needs a man like a fish needs a bicycle,UNC,RSSB,𐑩 𐑢𐑫𐑥𐑩𐑯 𐑯𐑰𐑛𐑟 𐑩 𐑥𐑨𐑯 𐑤𐑲𐑒 𐑩 𐑓𐑦𐑖 𐑯𐑰𐑛𐑟 𐑩 𐑚𐑲𐑕𐑦𐑒𐑩𐑤,ə ˈwʊmən ˌniːdz ə ˈmæn laɪk ə ˈfɪʃ ˌniːdz ə ˈbaɪsɪkəl,drop,,,,,wiktionary,new,97,shave_agrees
a woman without a man is like a fish without a bicycle,UNC,GenAm,𐑩 𐑢𐑫𐑥𐑩𐑯 𐑢𐑦𐑞𐑬𐑑 𐑩 𐑥𐑨𐑯 𐑦𐑟 𐑤𐑲𐑒 𐑩 𐑓𐑦𐑖 𐑢𐑦𐑞𐑬𐑑 𐑩 𐑚𐑲𐑕𐑦𐑒𐑩𐑤,ə ˈwʊmən wɪðˌaʊt ə ˈmæn ɪz laɪk ə ˈfɪʃ wɪðˌaʊt ə ˈbaɪˌsɪkəl,drop,,,,,wiktionary,new,97,shave_agrees
a woman without a man is like a fish without a bicycle,UNC,RSSB,𐑩 𐑢𐑫𐑥𐑩𐑯 𐑢𐑦𐑞𐑬𐑑 𐑩 𐑥𐑨𐑯 𐑦𐑟 𐑤𐑲𐑒 𐑩 𐑓𐑦𐑖 𐑢𐑦𐑞𐑬𐑑 𐑩 𐑚𐑲𐑕𐑦𐑒𐑩𐑤,ə ˈwʊmən wɪðˌaʊt ə ˈmæn ɪz laɪk ə ˈfɪʃ wɪðˌaʊt ə ˈbaɪsɪkəl,drop,,,,,wiktionary,new,97,shave_agrees
abdominodiaphragmatic breathing,NN1,GenAm,𐑨𐑚𐑛𐑪𐑥𐑦𐑯𐑴𐑛𐑾𐑓𐑮𐑨𐑜𐑥𐑨𐑑𐑦𐑒 𐑚𐑮𐑰𐑞𐑦𐑙,æbˌdɒmɪnoʊdiəfræɡˈmætɪk briːðɪŋ,drop,,,,,wiktionary,new,97,shave_agrees
abdominoscrotal muscle,NN1,GenAm,𐑨𐑚𐑛𐑪𐑥𐑦𐑯𐑴𐑕𐑒𐑮𐑴𐑑𐑩𐑤 𐑥𐑳𐑕𐑩𐑤,æbˌdɒmɪnoʊskroʊtəl ˈmʌsəl,drop,,,,,wiktionary,new,97,shave_agrees
abducens nerve,NN1,RSSB,𐑨𐑚𐑛𐑿𐑕𐑩𐑯𐑟 𐑯𐑻𐑝,abˈdjuːsənz nɜːRv,drop,,,,,wiktionary,new,97,shave_agrees
about ship,VVI,GenAm,𐑩𐑚𐑬𐑑 𐑖𐑦𐑐,əˌbaʊt ˈʃɪp,drop,,,,,wiktionary,new,97,shave_agrees
abscission layer,NN1,GenAm,𐑨𐑚𐑕𐑦𐑖𐑩𐑯 𐑤𐑱𐑼,æbˈsɪʃən ˈleɪəR,drop,,,,,wiktionary,new,97,shave_agrees
abscission zone,NN1,GenAm,𐑨𐑚𐑕𐑦𐑖𐑩𐑯 𐑟𐑴𐑯,æbˈsɪʃən ˈzoʊn,drop,,,,,wiktionary,new,97,shave_agrees
abscission zone,NN1,RSSB,𐑨𐑚𐑕𐑦𐑖𐑩𐑯 𐑟𐑴𐑯,æbˈsɪʃən ˈzəʊn,drop,,,,,wiktionary,new,97,shave_agrees
absinthe oil,NN1,GenAm,𐑨𐑚𐑕𐑦𐑯𐑔 𐑶𐑤,ˈæbsɪnθ ɔɪl,drop,,,,,wiktionary,new,97,shave_agrees
absit omen,ITJ,GenAm,𐑨𐑚𐑕𐑦𐑑 𐑴𐑥𐑩𐑯,ˈæbsɪt ˈoʊmən,drop,,,,,wiktionary,new,97,shave_agrees
absorbed dose,NN1,GenAm,𐑩𐑚𐑕𐑹𐑚𐑛 𐑛𐑴𐑕,əbˈsɔːRbd doʊs,drop,,,,,wiktionary,new,97,shave_agrees
absorbent cotton,NN1,GenAm,𐑩𐑚𐑕𐑹𐑚𐑩𐑯𐑑 𐑒𐑪𐑑𐑩𐑯,əbˈsɔːRbənt ˈkɒtən,drop,,,,,wiktionary,new,97,shave_agrees
absorption band,NN1,GenAm,𐑩𐑚𐑕𐑹𐑐𐑖𐑩𐑯 𐑚𐑨𐑯𐑛,əbˈsɔːRpʃən bænd,drop,,,,,wiktionary,new,97,shave_agrees
absorption costing,NN1,GenAm,𐑩𐑚𐑕𐑹𐑐𐑖𐑩𐑯 𐑒𐑪𐑕𐑑𐑦𐑙,əbˈsɔːRpʃən ˈkɒstɪŋ,drop,,,,,wiktionary,new,97,shave_agrees
