word	pos	var	shaw	ipa	confidence	source	status	readlex_var	shaw_override	pos_override	var_override	verdict	notes
abstract algebra	NN1	RSSB	𐑨𐑚𐑕𐑑𐑮𐑨𐑒𐑑 𐑨𐑤𐑡𐑦𐑚𐑮𐑩	ˈæbˌstrækt ældʒɪbrə	95	wiktionary	new					drop	ml_disagrees:𐑨𐑚𐑕𐑑𐑮𐑨𐑒𐑑 𐑨𐑤𐑡𐑩𐑚𐑮𐑩; shave_agrees
baby carrot	NN1	GenAm	𐑚𐑱𐑚𐑦 𐑒𐑨𐑮𐑩𐑑	ˈbeɪbi ˈkærət	95	wiktionary	new					drop	"r_gap:spelling=2,ipa=1; shave_agrees"
baby carrot	NN1	RSSB	𐑚𐑱𐑚𐑦 𐑒𐑨𐑮𐑩𐑑	ˈbeɪbi kærət	95	wiktionary	new					drop	"r_gap:spelling=2,ipa=1; shave_agrees"
barracks emperor	NN1	GenAm	𐑚𐑨𐑮𐑩𐑒𐑕 𐑧𐑥𐑐𐑼𐑼	ˈbærəks ˈempərəR	95	wiktionary	new					drop	"r_gap:spelling=4,ipa=3; shave_agrees"
barracks emperor	NN1	RSSB	𐑚𐑨𐑮𐑩𐑒𐑕 𐑧𐑥𐑐𐑼𐑼	bærəks empərəR	95	wiktionary	new					drop	"r_gap:spelling=4,ipa=3; shave_agrees"
carrier wave	NN1	GenAm	𐑒𐑨𐑮𐑽 𐑢𐑱𐑝	ˈkærɪəR weɪv	95	wiktionary	new					drop	"r_gap:spelling=3,ipa=2; shave_agrees"
carry on	NN1	GenAm	𐑒𐑨𐑮𐑦 𐑪𐑯	ˈkæri ˈɒn	95	wiktionary	new					drop	"r_gap:spelling=2,ipa=1; shave_agrees"
carry on	VVI	GenAm	𐑒𐑨𐑮𐑦 𐑪𐑯	ˈkæri ˈɒn	95	wiktionary	new					drop	"r_gap:spelling=2,ipa=1; shave_agrees"
cellulite	NN1	GenAm	-𐑤𐑦𐑑	ˌ-lit	89	wiktionary	fragment					drop	
cellulite	NN1	RSSB	-𐑤𐑰𐑑	ˌ-liːt	89	wiktionary	fragment					drop	
cherry on top	NN1	GenAm	𐑗𐑧𐑮𐑦 𐑪𐑯 𐑑𐑪𐑐	ˌtʃeri ɒn ˈtɒp	95	wiktionary	new					drop	"r_gap:spelling=2,ipa=1; shave_agrees"
cherry on top	NN1	RSSB	𐑗𐑧𐑮𐑦 𐑪𐑯 𐑑𐑪𐑐	ˌtʃeri ɒn ˈtɒp	95	wiktionary	new					drop	"r_gap:spelling=2,ipa=1; shave_agrees"
chromatic aberration	NN1	GenAm	𐑒𐑮𐑴𐑥𐑨𐑑𐑦𐑒 𐑨𐑚𐑼𐑱𐑖𐑩𐑯	kroʊˈmætɪk ˌæbəˈreɪʃən	95	wiktionary	new					drop	"r_gap:spelling=3,ipa=2; shave_agrees"
embarrassingly parallel	AJ0	RSSB	𐑦𐑥𐑚𐑨𐑮𐑩𐑕𐑦𐑙𐑤𐑦 𐑐𐑨𐑮𐑩𐑤𐑧𐑤	ɪmbærəsɪŋli pærəlel	95	wiktionary	new					drop	"r_gap:spelling=3,ipa=2; shave_agrees"
Ember day	NN1	RSSB	𐑧𐑥𐑚𐑼 𐑛𐑱	embəR ˌdeɪ	95	wiktionary	new					drop	ml_disagrees:𐑦𐑥𐑚𐑼 𐑛𐑱; shave_agrees
enhanced interrogation	NN1	GenAm	𐑦𐑯𐑣𐑨𐑯𐑕𐑑 𐑦𐑯𐑑𐑧𐑮𐑩𐑜𐑱𐑖𐑩𐑯	ɪnˈhænst ɪnˌterəˌɡeɪʃən	95	wiktionary	new					drop	"r_gap:spelling=2,ipa=1; shave_agrees"
enhanced interrogation	NN1	RSSB	𐑦𐑯𐑣𐑭𐑯𐑕𐑑 𐑦𐑯𐑑𐑧𐑮𐑩𐑜𐑱𐑖𐑩𐑯	ɪnˈhɑːnst ɪnterəɡeɪʃən	95	wiktionary	new					drop	"r_gap:spelling=2,ipa=1; shave_agrees"
