word,pos,var,shaw,ipa,verdict,shaw_override,pos_override,var_override,ipa_override,source,status,confidence,notes
'twas,UNC,GenAm,𐑑𐑢𐑳𐑟,twʌz,duplicate,,,,,wiktionary,supplement,89,shave_says:0
'twas,UNC,RSSB,𐑑𐑢𐑪𐑟,twɒz,duplicate,,,,,wiktionary,supplement,89,shave_says:'𐑵𐑤𐑴
a,NN1,RSSB,𐑱,eɪ,duplicate,,,,,wordnet,supplement,89,shave_says:𐑩
a fortiori,AJ0,RSSB,𐑱 𐑓𐑹𐑑𐑦𐑹𐑲,ˌeɪ fɔːrtiɔːraɪ,duplicate,,,,,wiktionary,supplement,89,shave_says:𐑩 𐑓𐑹𐑑𐑦𐑹𐑲
a fortiori,AV0,RSSB,𐑱 𐑓𐑹𐑑𐑦𐑹𐑲,ˌeɪ fɔːrtiɔːraɪ,duplicate,,,,,wiktionary,supplement,89,shave_says:𐑩 𐑓𐑹𐑑𐑦𐑹𐑲
a lot,AJ0,GenAm,𐑩 𐑤𐑪𐑑,ə ˈlɒt,duplicate,,,,,wiktionary,supplement,97,shave_agrees
a lot,AJ0,RSSB,𐑩 𐑤𐑪𐑑,ə ˈlɒt,duplicate,,,,,wiktionary,supplement,97,shave_agrees
a lot,AV0,GenAm,𐑩 𐑤𐑪𐑑,ə ˈlɒt,duplicate,,,,,wiktionary,supplement,97,shave_agrees
a lot,AV0,RSSB,𐑩 𐑤𐑪𐑑,ə ˈlɒt,duplicate,,,,,wiktionary,supplement,97,shave_agrees
a lot,PNP,GenAm,𐑩 𐑤𐑪𐑑,ə ˈlɒt,duplicate,,,,,wiktionary,supplement,97,shave_agrees
a lot,PNP,RSSB,𐑩 𐑤𐑪𐑑,ə ˈlɒt,duplicate,,,,,wiktionary,supplement,97,shave_agrees
a priori,AJ0,RSSB,𐑱 𐑐𐑮𐑲𐑹𐑲,ˌeɪ praɪɔːraɪ,duplicate,,,,,wiktionary,supplement,89,shave_says:𐑩 𐑐𐑮𐑲𐑹𐑦
a priori,AV0,RSSB,𐑱 𐑐𐑮𐑲𐑹𐑲,ˌeɪ praɪɔːraɪ,duplicate,,,,,wiktionary,supplement,89,shave_says:𐑩 𐑐𐑮𐑲𐑹𐑦
Aachen,NP0,RSSB,𐑭𐑒𐑩𐑯,ˈɑːkən,duplicate,,,,,wiktionary,supplement,89,shave_says:𐑱𐑭𐑤𐑕𐑑
aardvark,NN1,GenAm,𐑸𐑛𐑝𐑸𐑒,ˈɑːRdvɑːRk,duplicate,,,,,wordnet,supplement,97,shave_agrees
aardvark,NN1,GenAm,𐑸𐑛𐑝𐑸𐑒,ˈɑːRdvɑːRk,duplicate,,,,,wiktionary,supplement,97,shave_agrees
aardvark,NN1,RSSB,𐑸𐑛𐑝𐑸𐑒,ɑːRdvɑːRk,duplicate,,,,,wiktionary,supplement,97,shave_agrees
Aarhus,NP0,GenAm,𐑸𐑣𐑫𐑕,ˈɑːRˌhus,duplicate,,,,,wiktionary,supplement,89,shave_says:𐑨𐑮𐑩𐑯𐑟 ·𐑮𐑪𐑛
ab initio,AV0,GenAm,𐑨𐑚 𐑦𐑯𐑦𐑖𐑦𐑴,ˌæb ɪˈnɪʃioʊ,duplicate,,,,,wiktionary,supplement,97,shave_agrees
aback,AV0,GenAm,𐑩𐑚𐑨𐑒,əˈbæk,duplicate,,,,,wiktionary,supplement,97,shave_agrees
aback,AV0,RSSB,𐑩𐑚𐑨𐑒,əˈbæk,duplicate,,,,,wiktionary,supplement,97,shave_agrees
aback,NN1,GenAm,𐑩𐑚𐑨𐑒,əˈbæk,duplicate,,,,,wiktionary,supplement,97,shave_agrees
aback,NN1,RSSB,𐑩𐑚𐑨𐑒,əˈbæk,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abacus,NN1,RSSB,𐑨𐑚𐑩𐑒𐑩𐑕,ˈæbəkəs,duplicate,,,,,wordnet,supplement,97,shave_agrees
abaft,AV0,GenAm,𐑩𐑚𐑨𐑓𐑑,əˈbæft,duplicate,,,,,wordnet,supplement,97,shave_agrees
abaft,AV0,GenAm,𐑩𐑚𐑨𐑓𐑑,əˈbæft,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abaft,AV0,RSSB,𐑩𐑚𐑭𐑓𐑑,əˈbɑːft,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abaft,PRP,GenAm,𐑩𐑚𐑨𐑓𐑑,əˈbæft,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abaft,PRP,RSSB,𐑩𐑚𐑭𐑓𐑑,əˈbɑːft,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abandoned,AJ0,GenAm,𐑩𐑚𐑨𐑯𐑛𐑩𐑯𐑛,əˈbændənd,duplicate,,,,,wordnet,supplement,97,shave_agrees
abandonment,NN1,GenAm,𐑩𐑚𐑨𐑯𐑛𐑩𐑯𐑥𐑩𐑯𐑑,əˈbændənmənt,duplicate,,,,,wordnet,supplement,97,shave_agrees
abase,VVI,RSSB,𐑩𐑚𐑱𐑕,əˈbeɪs,duplicate,,,,,wordnet,supplement,97,shave_agrees
abased,AJ0,GenAm,𐑩𐑚𐑱𐑕𐑑,əˈbeɪst,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abased,AJ0,RSSB,𐑩𐑚𐑱𐑕𐑑,əˈbeɪst,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abased,VVI,GenAm,𐑩𐑚𐑱𐑕𐑑,əˈbeɪst,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abased,VVI,RSSB,𐑩𐑚𐑱𐑕𐑑,əˈbeɪst,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abasement,NN1,RSSB,𐑩𐑚𐑱𐑕𐑥𐑩𐑯𐑑,əˈbeɪsmənt,duplicate,,,,,wordnet,supplement,97,shave_agrees
abash,VVI,GenAm,𐑩𐑚𐑨𐑖,əˈbæʃ,duplicate,,,,,wordnet,supplement,97,shave_agrees
abash,VVI,GenAm,𐑩𐑚𐑨𐑖,əˈbæʃ,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abash,VVI,RSSB,𐑩𐑚𐑨𐑖,əˈbæʃ,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abashed,AJ0,RSSB,𐑩𐑚𐑨𐑖𐑑,əˈbæʃt,duplicate,,,,,wordnet,supplement,97,shave_agrees
abashed,AJ0,RSSB,𐑩𐑚𐑨𐑖𐑑,əˈbæʃt,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abashed,VVI,RSSB,𐑩𐑚𐑨𐑖𐑑,əˈbæʃt,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abatement,NN1,RSSB,𐑩𐑚𐑱𐑑𐑥𐑩𐑯𐑑,əˈbeɪtmənt,duplicate,,,,,wordnet,supplement,97,shave_agrees
abattoir,NN1,GenAm,𐑨𐑚𐑩𐑑𐑢𐑸,ˈæbəˌtwɑːR,duplicate,,,,,wordnet,supplement,97,shave_agrees
abattoir,NN1,GenAm,𐑨𐑚𐑩𐑑𐑢𐑸,ˈæbəˌtwɑːR,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abattoir,NN1,RSSB,𐑨𐑚𐑩𐑑𐑢𐑸,æbətwɑːr,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abbe,NN1,GenAm,𐑨𐑚𐑱,æˈbeɪ,duplicate,,,,,wordnet,supplement,97,shave_agrees
abbe,NN1,GenAm,𐑨𐑚𐑱,æˈbeɪ,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abbe,NN1,GenAm,𐑨𐑚𐑱,ˈæbeɪ,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abbess,NN1,GenAm,𐑨𐑚𐑧𐑕,ˈæbes,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abbess,NN1,RSSB,𐑨𐑚𐑧𐑕,ˈæbes,duplicate,,,,,wiktionary,supplement,97,shave_agrees
abbey,NN1,RSSB,𐑨𐑚𐑦,ˈæbi,duplicate,,,,,wordnet,supplement,97,shave_agrees
abbot,NN1,GenAm,𐑨𐑚𐑩𐑑,ˈæbət,duplicate,,,,,wordnet,supplement,97,shave_agrees
abbot,NN1,GenAm,𐑨𐑚𐑩𐑑,ˈæbət,duplicate,,,,,wiktionary,supplement,97,shave_agrees
