word	pos	var	shaw	ipa	confidence	source	status	readlex_var	shaw_override	pos_override	var_override	verdict	notes
'twas	UNC	GenAm	𐑑𐑢𐑳𐑟	twʌz	89	wiktionary	supplement	GenAm				duplicate	
'twas	UNC	RSSB	𐑑𐑢𐑪𐑟	twɒz	89	wiktionary	supplement	RRP				duplicate	
a	NN1	RSSB	𐑱	eɪ	89	wordnet	supplement	RRP				duplicate	
a fortiori	AJ0	RSSB	𐑱 𐑓𐑹𐑑𐑦𐑹𐑲	ˌeɪ fɔːrtiɔːraɪ	89	wiktionary	supplement	RRP				duplicate	
a fortiori	AV0	RSSB	𐑱 𐑓𐑹𐑑𐑦𐑹𐑲	ˌeɪ fɔːrtiɔːraɪ	89	wiktionary	supplement	RRP				duplicate	
a lot	AJ0	GenAm	𐑩 𐑤𐑪𐑑	ə ˈlɒt	89	wiktionary	supplement	RRP				duplicate	
a lot	AJ0	RSSB	𐑩 𐑤𐑪𐑑	ə ˈlɒt	89	wiktionary	supplement	RRP				duplicate	
a lot	AV0	GenAm	𐑩 𐑤𐑪𐑑	ə ˈlɒt	89	wiktionary	supplement	RRP				duplicate	
a lot	AV0	RSSB	𐑩 𐑤𐑪𐑑	ə ˈlɒt	89	wiktionary	supplement	RRP				duplicate	
a lot	PNP	GenAm	𐑩 𐑤𐑪𐑑	ə ˈlɒt	89	wiktionary	supplement	RRP				duplicate	
a lot	PNP	RSSB	𐑩 𐑤𐑪𐑑	ə ˈlɒt	89	wiktionary	supplement	RRP				duplicate	
a priori	AJ0	RSSB	𐑱 𐑐𐑮𐑲𐑹𐑲	ˌeɪ praɪɔːraɪ	89	wiktionary	supplement	RRP				duplicate	
a priori	AV0	RSSB	𐑱 𐑐𐑮𐑲𐑹𐑲	ˌeɪ praɪɔːraɪ	89	wiktionary	supplement	RRP				duplicate	
Aachen	NP0	RSSB	𐑭𐑒𐑩𐑯	ˈɑːkən	89	wiktionary	supplement	RRP				duplicate	
aardvark	NN1	GenAm	𐑸𐑛𐑝𐑸𐑒	ˈɑːRdvɑːRk	89	wordnet	supplement	RRP				duplicate	
aardvark	NN1	GenAm	𐑸𐑛𐑝𐑸𐑒	ˈɑːRdvɑːRk	89	wiktionary	supplement	RRP				duplicate	
aardvark	NN1	RSSB	𐑸𐑛𐑝𐑸𐑒	ɑːRdvɑːRk	89	wordnet	supplement	RRP				duplicate	
aardvark	NN1	RSSB	𐑸𐑛𐑝𐑸𐑒	ɑːRdvɑːRk	89	wiktionary	supplement	RRP				duplicate	
Aarhus	NP0	GenAm	𐑸𐑣𐑫𐑕	ˈɑːRˌhus	89	wiktionary	supplement	RRP				duplicate	
ab initio	AV0	GenAm	𐑨𐑚 𐑦𐑯𐑦𐑖𐑦𐑴	ˌæb ɪˈnɪʃioʊ	89	wiktionary	supplement	RRP				duplicate	
aback	AV0	GenAm	𐑩𐑚𐑨𐑒	əˈbæk	89	wiktionary	supplement	RRP				duplicate	
aback	AV0	RSSB	𐑩𐑚𐑨𐑒	əˈbæk	89	wiktionary	supplement	RRP				duplicate	
aback	NN1	GenAm	𐑩𐑚𐑨𐑒	əˈbæk	89	wiktionary	supplement	RRP				duplicate	
aback	NN1	RSSB	𐑩𐑚𐑨𐑒	əˈbæk	89	wiktionary	supplement	RRP				duplicate	
abacus	NN1	RSSB	𐑨𐑚𐑩𐑒𐑩𐑕	ˈæbəkəs	89	wordnet	supplement	RRP				duplicate	
abaft	AV0	GenAm	𐑩𐑚𐑨𐑓𐑑	əˈbæft	89	wordnet	supplement	TrapBath				duplicate	
abaft	AV0	GenAm	𐑩𐑚𐑨𐑓𐑑	əˈbæft	89	wiktionary	supplement	TrapBath				duplicate	
abaft	AV0	RSSB	𐑩𐑚𐑨𐑓𐑑	əˈbæft	89	wordnet	supplement	TrapBath				duplicate	
abaft	AV0	RSSB	𐑩𐑚𐑭𐑓𐑑	əˈbɑːft	89	wiktionary	supplement	RRP				duplicate	
abaft	PRP	GenAm	𐑩𐑚𐑨𐑓𐑑	əˈbæft	89	wiktionary	supplement	TrapBath				duplicate	
abaft	PRP	RSSB	𐑩𐑚𐑭𐑓𐑑	əˈbɑːft	89	wiktionary	supplement	RRP				duplicate	
abandoned	AJ0	GenAm	𐑩𐑚𐑨𐑯𐑛𐑩𐑯𐑛	əˈbændənd	89	wordnet	supplement	RRP				duplicate	
abandoned	AJ0	RSSB	𐑩𐑚𐑨𐑯𐑛𐑩𐑯𐑛	əˈbændənd	89	wordnet	supplement	RRP				duplicate	
abandonment	NN1	GenAm	𐑩𐑚𐑨𐑯𐑛𐑩𐑯𐑥𐑩𐑯𐑑	əˈbændənmənt	89	wordnet	supplement	RRP				duplicate	
abandonment	NN1	RSSB	𐑩𐑚𐑨𐑯𐑛𐑩𐑯𐑥𐑩𐑯𐑑	əˈbændənmənt	89	wordnet	supplement	RRP				duplicate	
abase	VVI	RSSB	𐑩𐑚𐑱𐑕	əˈbeɪs	89	wordnet	supplement	RRP				duplicate	
abased	AJ0	GenAm	𐑩𐑚𐑱𐑕𐑑	əˈbeɪst	89	wiktionary	supplement	RRP				duplicate	
abased	AJ0	RSSB	𐑩𐑚𐑱𐑕𐑑	əˈbeɪst	89	wiktionary	supplement	RRP				duplicate	
abased	VVI	GenAm	𐑩𐑚𐑱𐑕𐑑	əˈbeɪst	89	wiktionary	supplement	RRP				duplicate	
abased	VVI	RSSB	𐑩𐑚𐑱𐑕𐑑	əˈbeɪst	89	wiktionary	supplement	RRP				duplicate	
abasement	NN1	RSSB	𐑩𐑚𐑱𐑕𐑥𐑩𐑯𐑑	əˈbeɪsmənt	89	wordnet	supplement	RRP				duplicate	
abash	VVI	GenAm	𐑩𐑚𐑨𐑖	əˈbæʃ	89	wordnet	supplement	RRP				duplicate	
