word,pos,var,shaw,ipa,verdict,shaw_override,pos_override,var_override,ipa_override,source,status,confidence,notes
'twas,UNC,RSSB,𐑑𐑢𐑪𐑟,twɒz,,,,,,pos-gap,pos-gap,35,rl_pos=PNP+VBD; rl_shaw=𐑑𐑢𐑪𐑟/𐑑𐑢𐑳𐑟; agreed via wiktionary
'twas,UNC,GenAm,𐑑𐑢𐑳𐑟,twʌz,,,,,,pos-gap,pos-gap,35,rl_pos=PNP+VBD; rl_shaw=𐑑𐑢𐑪𐑟/𐑑𐑢𐑳𐑟; agreed via wiktionary
a,NN1,RSSB,𐑱,eɪ,,,,,,pos-gap,pos-gap,35,"rl_pos=AT0,ZZ0; rl_shaw=𐑩/𐑱; agreed via wordnet"
a fortiori,AJ0,GenAm,𐑱 𐑓𐑪𐑮𐑑𐑦𐑪𐑮𐑦,ˌeɪ ˌfortiˈori,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AV0; rl_shaw=𐑱 𐑓𐑹𐑑𐑦𐑹𐑲; SHIFTED via wiktionary
a fortiori,AJ0,GenAm,𐑱 𐑓𐑪𐑮𐑑𐑦𐑪𐑮𐑲,ˌeɪ ˌfortiˈorˌaɪ,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AV0; rl_shaw=𐑱 𐑓𐑹𐑑𐑦𐑹𐑲; SHIFTED via wiktionary
a fortiori,AJ0,GenAm,𐑱 𐑓𐑪𐑮𐑖𐑦𐑪𐑮𐑦,ˌeɪ ˌforʃiˈori,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AV0; rl_shaw=𐑱 𐑓𐑹𐑑𐑦𐑹𐑲; SHIFTED via wiktionary
a fortiori,AJ0,GenAm,𐑱 𐑓𐑪𐑮𐑖𐑦𐑪𐑮𐑲,ˌeɪ ˌforʃiˈorˌaɪ,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AV0; rl_shaw=𐑱 𐑓𐑹𐑑𐑦𐑹𐑲; SHIFTED via wiktionary
a fortiori,AJ0,RSSB,𐑱 𐑓𐑹𐑑𐑦𐑹𐑦,ˌeɪ fɔːrtiɔːri,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AV0; rl_shaw=𐑱 𐑓𐑹𐑑𐑦𐑹𐑲; SHIFTED via wiktionary
a fortiori,AJ0,RSSB,𐑱 𐑓𐑹𐑑𐑦𐑹𐑲,ˌeɪ fɔːrtiɔːraɪ,,,,,,pos-gap,pos-gap,50,rl_pos=AV0; rl_shaw=𐑱 𐑓𐑹𐑑𐑦𐑹𐑲; agreed via wiktionary
a lot,AJ0,GenAm,𐑩 𐑤𐑪𐑑,ə ˈlɒt,,,,,,pos-gap,pos-gap,50,rl_pos=AV0; rl_shaw=𐑩 𐑤𐑪𐑑; agreed via wiktionary
a lot,PNP,GenAm,𐑩 𐑤𐑪𐑑,ə ˈlɒt,,,,,,pos-gap,pos-gap,35,rl_pos=AV0; rl_shaw=𐑩 𐑤𐑪𐑑; agreed via wiktionary
aback,NN1,GenAm,𐑩𐑚𐑨𐑒,əˈbæk,,,,,,pos-gap,pos-gap,50,rl_pos=AV0; rl_shaw=𐑩𐑚𐑨𐑒; agreed via wiktionary
abased,VVI,GenAm,𐑩𐑚𐑱𐑕𐑑,əˈbeɪst,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑩𐑚𐑱𐑕𐑑; agreed via wiktionary"
