word,pos,var,verdict,old_shaw,new_shaw,old_ipa,new_ipa,shaw_override,ipa_override,notes
aar,NN1,GenAm,keep,𐑸,𐑸,ɑːr,ɑːR,,,shave_agrees
aardwolf,NN1,RRP,keep,𐑸𐑛𐑢𐑫𐑤𐑓,𐑸𐑛𐑢𐑫𐑤𐑓,ɑːRdwʊlf,ˈɑːRdˌwʊlf,,,shave_agrees
aare,NN1,GenAm,keep,𐑸𐑩,𐑸𐑩,ɑːrə,ˈɑːRə,,,shave_says:𐑱𐑸
abalone,NN1,RRP,keep,𐑨𐑚𐑩𐑤𐑴𐑯𐑦,𐑨𐑚𐑩𐑤𐑴𐑯𐑦,æbəˈləʊni,æbəˈloʊni,,,shave_agrees
abelmosk,NN1,RRP,keep,𐑱𐑚𐑩𐑤𐑥𐑪𐑕𐑒,𐑱𐑚𐑩𐑤𐑥𐑪𐑕𐑒,ˈeɪbəlmɒsk,ˈeɪbəlˌmɒsk,,,shave_says:𐑨𐑚𐑧𐑤𐑥𐑴𐑕𐑒
abettor,NN1,RRP,keep,𐑩𐑚𐑧𐑑𐑼,𐑩𐑚𐑧𐑑𐑼,əbetəR,əˈbetəR,,,shave_agrees
aboral,AJ0,RRP,keep,𐑨𐑚𐑹𐑩𐑤,𐑨𐑚𐑹𐑩𐑤,æbɔːrəl,æbˈɔːRəl,,,shave_says:𐑩𐑚𐑹𐑩𐑤
abrogate,VVI,RRP,keep,𐑨𐑚𐑮𐑩𐑜𐑩𐑑,𐑨𐑚𐑮𐑩𐑜𐑩𐑑,æbrəɡət,ˈæbrəˌɡət,,,shave_says:𐑨𐑚𐑮𐑩𐑜𐑱𐑑
absurda,NN1,RRP,keep,𐑩𐑚𐑕𐑻𐑛𐑩,𐑩𐑚𐑕𐑻𐑛𐑩,əbˈsɜːdə,əbsɜːRdə,,,"r_gap:spelling=1,ipa=0; shave_agrees"
acadian,NN1,RRP,keep,𐑩𐑒𐑱𐑛𐑦𐑩𐑯,𐑩𐑒𐑱𐑛𐑾𐑯,əˈkeɪdiən,əˈkeɪdiən,,,shave_agrees
accentor,NN1,RRP,keep,𐑩𐑒𐑕𐑧𐑯𐑑𐑼,𐑩𐑒𐑕𐑧𐑯𐑑𐑼,əksentəR,əkˈsentəR,,,shave_says:𐑨𐑒𐑕𐑧𐑯𐑑𐑼
acceptor,NN1,RRP,keep,𐑩𐑒𐑕𐑧𐑐𐑑𐑼,𐑩𐑒𐑕𐑧𐑐𐑑𐑼,əkseptəR,əkˈseptəR,,,shave_agrees
acerb,AJ0,RRP,keep,𐑩𐑕𐑻𐑚,𐑩𐑕𐑻𐑚,əsɜːRb,əˈsɜːRb,,,shave_agrees
acerbate,VVI,RRP,keep,𐑨𐑕𐑼𐑚𐑱𐑑,𐑨𐑕𐑼𐑚𐑱𐑑,asəRbeɪt,ˈæsərˌbeɪt,,,shave_says:𐑩𐑕𐑻𐑚𐑱𐑑
acerbic,AJ0,RRP,keep,𐑩𐑕𐑻𐑚𐑦𐑒,𐑩𐑕𐑻𐑚𐑦𐑒,əˈsɜːbɪk,əsɜːrbɪk,,,"r_gap:spelling=1,ipa=0; shave_agrees"
acervate,AJ0,RRP,keep,𐑨𐑕𐑼𐑝𐑱𐑑,𐑨𐑕𐑼𐑝𐑱𐑑,æsəRveɪt,ˈæsəRveɪt,,,shave_says:𐑱𐑕𐑻𐑝𐑱𐑑
acetabular,AJ0,RRP,keep,𐑨𐑕𐑦𐑑𐑨𐑚𐑘𐑩𐑤𐑼,𐑨𐑕𐑦𐑑𐑨𐑚𐑘𐑩𐑤𐑼,æsɪtæbjələR,ˌæsɪˈtæbjələR,,,shave_says:𐑩𐑕𐑰𐑖𐑩𐑚𐑿𐑤𐑼
acetose,AJ0,RRP,keep,𐑨𐑕𐑦𐑑𐑴𐑕,𐑨𐑕𐑦𐑑𐑴𐑕,ˈæsɪtəʊs,ˈæsɪtoʊs,,,shave_says:𐑩𐑕𐑰𐑑𐑴𐑕
adopter,NN1,RRP,keep,𐑩𐑛𐑪𐑐𐑑𐑼,𐑩𐑛𐑪𐑐𐑑𐑼,ədɒptəR,əˈdɒptəR,,,shave_agrees
adorableness,NN1,RRP,keep,𐑩𐑛𐑹𐑩𐑚𐑩𐑤𐑯𐑩𐑕,𐑩𐑛𐑹𐑩𐑚𐑩𐑤𐑯𐑩𐑕,ədɔːrəbəlnəs,əˈdɔːrəbəlnəs,,,shave_agrees
aflutter,AJ0,RRP,keep,𐑩𐑓𐑤𐑳𐑑𐑼,𐑩𐑓𐑤𐑳𐑑𐑼,əflʌtəR,əˈflʌtəR,,,shave_agrees
aforementioned,AJ0,RRP,keep,𐑩𐑓𐑹𐑥𐑧𐑯𐑖𐑩𐑯𐑛,𐑩𐑓𐑹𐑥𐑧𐑯𐑖𐑩𐑯𐑛,əfɔːRmenʃənd,əˈfɔːRˌmenʃənd,,,shave_agrees
ahorse,AV0,RRP,keep,𐑩𐑣𐑹𐑕,𐑩𐑣𐑹𐑕,əhɔːRs,əˈhɔːRs,,,shave_says:𐑱𐑣𐑹𐑕
aioli,NN1,RRP,keep,𐑲𐑴𐑤𐑦,𐑲𐑴𐑤𐑦,aɪˈəʊlɪ,aɪˈoʊli,𐑱𐑴𐑤𐑦,,eɪˈəʊli is the shared / more common (?) pronunciation.  We need a IPA override!
anadromous,AJ0,RRP,keep,𐑩𐑯𐑨𐑛𐑮𐑩𐑥𐑩𐑕,𐑩𐑯𐑨𐑛𐑮𐑩𐑥𐑩𐑕,ənadrəməs,əˈnædrəməs,,,shave_says:𐑨𐑯𐑩𐑛𐑮𐑴𐑥𐑩𐑕
anamorphic,AJ0,RRP,keep,𐑨𐑯𐑩𐑥𐑹𐑓𐑦𐑒,𐑨𐑯𐑩𐑥𐑹𐑓𐑦𐑒,ænəmɔːRfɪk,ˌænəˈmɔːRfɪk,,,shave_agrees
androgyny,NN1,RRP,keep,𐑨𐑯𐑛𐑮𐑪𐑡𐑩𐑯𐑦,𐑨𐑯𐑛𐑮𐑪𐑡𐑩𐑯𐑦,ændrɒdʒəni,ænˈdrɒdʒəni,,,shave_agrees
