word,pos,var,shaw,ipa,verdict,shaw_override,pos_override,var_override,ipa_override,source,status,confidence,notes
%,UNC,GenAm,𐑐𐑼𐑕𐑧𐑯𐑑,pəRˈsent,,,,,,wiktionary,new,89,shave_says:%
%,UNC,RSSB,𐑐𐑩𐑕𐑧𐑯𐑑,pəˈsent,,,,,,wiktionary,new,89,shave_says:%
'akikiki,NN1,CotCaught,𐑷𐑒𐑦𐑒𐑰𐑒𐑦,ˌɒkɪˈkiːki,,,,,,wiktionary,new,89,cot-caught variant of GenAm 𐑪𐑒𐑦𐑒𐑰𐑒𐑦
'akikiki,NN1,GenAm,𐑪𐑒𐑦𐑒𐑰𐑒𐑦,ˌɒkɪˈkiːki,,,,,,wiktionary,new,89,shave_says:'𐑱𐑒𐑦𐑒𐑲𐑒𐑦
'cause,CJC,GenAm,𐑒𐑳𐑟,kʌz,,,,,,wiktionary,new,89,shave_says:'𐑒𐑷𐑟𐑒𐑷𐑟𐑛
'cause,CJC,RSSB,𐑒𐑷𐑟,kɔz,,,,,,wiktionary,new,89,shave_says:'𐑒𐑷𐑟
'cause,CJC,RSSB,𐑒𐑪𐑟,kɒz,,,,,,wiktionary,new,89,shave_says:'𐑒𐑷𐑟
'cause,CJC,RSSB,𐑒𐑩𐑟,kəz,,,,,,wiktionary,new,89,shave_says:'𐑒𐑷𐑟
'd,VVI,GenAm,𐑛,d,,,,,,wiktionary,new,89,shave_says:'dswounds
'dswounds,ITJ,GenAm,𐑛𐑟𐑢𐑫𐑯𐑛𐑟,dzwundz,,,,,,wiktionary,new,89,shave_says:'𐑓𐑹
'dswounds,ITJ,RSSB,𐑛𐑟𐑢𐑵𐑯𐑛𐑟,dzwuːndz,,,,,,wiktionary,new,89,shave_says:'dswounds
'fore,PRP,RRP,𐑓𐑹,fɔːR,,,,,,wiktionary,new,89,shave_says:'𐑓𐑹
'ganst,VVI,RSSB,𐑜𐑨𐑯𐑕𐑑,ɡænst,,,,,,wiktionary,new,89,shave_says:'ganstganst'sganst's's-·𐑣𐑧𐑮𐑑𐑴𐑜𐑩𐑯𐑚𐑴𐑖
'ho,NN1,GenAm,𐑣𐑴,hoʊ,,,,,,wiktionary,new,89,shave_says:'𐑒𐑱
'kay,ITJ,GenAm,𐑒𐑱,keɪ,,,,,,wiktionary,new,89,shave_says:'𐑥𐑭𐑑𐑼𐑥𐑭𐑑𐑼𐑟𐑥𐑭𐑑𐑼𐑟𐑩𐑟-·𐑣𐑧𐑮𐑑𐑴𐑜𐑩𐑯𐑚𐑴𐑖
'kay,ITJ,GenAm,𐑒𐑱𐑐,ˈkeɪp,,,,,,wiktionary,new,89,shave_says:'𐑥𐑭𐑑𐑼𐑥𐑭𐑑𐑼𐑟𐑥𐑭𐑑𐑼𐑟𐑩𐑟-·𐑣𐑧𐑮𐑑𐑴𐑜𐑩𐑯𐑚𐑴𐑖
'mater,NN1,GenAm,𐑥𐑱𐑑𐑼,ˈmeɪtəR,,,,,,wiktionary,new,89,shave_says:'𐑕𐑐𐑤𐑴𐑛
's,AV0,GenAm,𐑩𐑟,əz,,,,,,wiktionary,new,89,shave_says:'𐑕𐑳𐑐
's,AV0,RRP,𐑦𐑟,ɪz,drop,,,,,wiktionary,new,89,shave_says:'𐑑𐑢𐑪𐑟
's,CJC,GenAm,𐑩𐑟,əz,,,,,,wiktionary,new,89,shave_says:'𐑕𐑳𐑐
's,CJC,RRP,𐑦𐑟,ɪz,drop,,,,,wiktionary,new,89,shave_says:'𐑑𐑢𐑪𐑟
's,DT0,GenAm,𐑩𐑟,əz,,,,,,wiktionary,new,89,shave_says:'𐑕𐑳𐑐
's,DT0,RRP,𐑦𐑟,ɪz,drop,,,,,wiktionary,new,89,shave_says:'𐑑𐑢𐑪𐑟
's,PNP,GenAm,𐑩𐑟,əz,,,,,,wiktionary,new,89,shave_says:'𐑕𐑳𐑐
's,PNP,RRP,𐑦𐑟,ɪz,drop,,,,,wiktionary,new,89,shave_says:'𐑑𐑢𐑪𐑟
's,VVI,GenAm,𐑩𐑟,əz,,,,,,wiktionary,new,89,shave_says:'𐑕𐑳𐑐
's,VVI,RRP,𐑦𐑟,ɪz,drop,,,,,wiktionary,new,89,shave_says:'𐑑𐑢𐑪𐑟
's-Hertogenbosch,NP0,CotCaught,𐑕𐑻𐑑𐑴𐑜𐑩𐑯𐑚𐑷𐑕,ˌsɜːRtoʊɡənˈbɒs,,,,,,wiktionary,new,89,cot-caught variant of GenAm 𐑕𐑻𐑑𐑴𐑜𐑩𐑯𐑚𐑪𐑕
's-Hertogenbosch,NP0,RRP,𐑕𐑻𐑑𐑴𐑜𐑩𐑯𐑚𐑪𐑕,ˌsɜːRtoʊɡənˈbɒs,,,,,,wiktionary,new,89,shave_says:'𐑑𐑵𐑛
'splode,VVI,GenAm,𐑕𐑐𐑤𐑴𐑛,sploʊd,,,,,,wiktionary,new,89,shave_says:'𐑑𐑢𐑪𐑟
'sup,UNC,GenAm,𐑕𐑳𐑐,sʌp,,,,,,wiktionary,new,89,shave_says:.com
'tude,NN1,GenAm,𐑑𐑫𐑛,tud,,,,,,wiktionary,new,89,shave_says:/𐑑/
'twasn't,UNC,RSSB,𐑑𐑢𐑪𐑟𐑩𐑯𐑑,ˈtwɒzənt,,,,,,wiktionary,new,89,shave_says:.com
'ullo,ITJ,RSSB,𐑳𐑤𐑴,ˈʌləʊ,,,,,,wiktionary,new,89,shave_says:/𐑑/
.com,NN1,CotCaught,𐑛𐑷𐑑𐑒𐑷𐑥,dɒtkɒm,,,,,,wiktionary,new,89,cot-caught variant of GenAm 𐑛𐑪𐑑𐑒𐑪𐑥
.com,NN1,RRP,𐑛𐑪𐑑𐑒𐑪𐑥,dɒtkɒm,drop,,,,,wiktionary,new,89,shave_says:0
/tttt/,NP0,GenAm,𐑑𐑦𐑑𐑦𐑑𐑦𐑑𐑦,ˌtiˌtiˌtiˈti,,,,,,wiktionary,new,89,shave_says:101
/tttt/,NP0,RSSB,𐑑𐑰𐑑𐑰𐑑𐑰𐑑𐑰,ˌtiːˌtiːˌtiːˈtiː,,,,,,wiktionary,new,89,shave_says:1-2-3
0,NN1,GenAm,𐑟𐑰𐑮𐑴,ˈziːrəʊ,,,,,,wordnet,new,10,numeral; shave_says:0
0,NN1,GenAm,𐑟𐑰𐑮𐑴,ˈziːrəʊ,,,,,,wiktionary,new,10,numeral; shave_says:105
0,NN1,RSSB,𐑟𐑽𐑴,ˈzɪərəʊ,,,,,,wordnet,new,10,numeral; shave_says:0
0,NN1,RSSB,𐑟𐑽𐑴,ˈzɪərəʊ,,,,,,wiktionary,new,10,numeral; shave_says:1-𐑳𐑐
1,NN1,RSSB,𐑢𐑨𐑯,wan,,,,,,wordnet,new,10,numeral; shave_says:1
1-2-3,NN1,GenAm,𐑢𐑳𐑯 𐑑𐑫 𐑔𐑮𐑦,wʌn tu θri,,,,,,wiktionary,new,10,numeral; shave_says:10Xer
1-2-3,NN1,RSSB,𐑢𐑳𐑯 𐑑𐑵 𐑔𐑮𐑰,wʌn tuː θriː,,,,,,wiktionary,new,10,numeral; shave_says:101
1-2-3,VVI,GenAm,𐑢𐑳𐑯 𐑑𐑫 𐑔𐑮𐑦,wʌn tu θri,,,,,,wiktionary,new,10,numeral; shave_says:10Xer
1-2-3,VVI,RSSB,𐑢𐑳𐑯 𐑑𐑵 𐑔𐑮𐑰,wʌn tuː θriː,,,,,,wiktionary,new,10,numeral; shave_says:101
1-up,NN1,RSSB,𐑢𐑪𐑯 𐑳𐑐,wɒn ʌp,,,,,,wiktionary,new,10,numeral; shave_says:10Xer
101,AJ0,RRP,𐑢𐑳𐑯𐑴𐑢𐑳𐑯,ˌwʌnəʊˈwʌn,,,,,,wiktionary,new,10,numeral; shave_says:1984
101,DT0,GenAm,𐑢𐑳𐑯 𐑣𐑳𐑯𐑛𐑮𐑩𐑛𐑩𐑯𐑢𐑳𐑯,ˌwʌn ˌhʌndrədənˈwʌn,,,,,,wiktionary,new,10,numeral; shave_says:10x
101,DT0,RRP,𐑩 𐑣𐑳𐑯𐑛𐑮𐑩𐑛 𐑩𐑯 𐑢𐑳𐑯,ə ˌhʌndrəd ən ˈwʌn,,,,,,wiktionary,new,10,numeral; shave_says:1984
101,DT0,RSSB,𐑢𐑳𐑯 𐑣𐑳𐑯𐑛𐑮𐑩𐑛 𐑩𐑯 𐑢𐑳𐑯,ˌwʌn ˌhʌndrəd ən ˈwʌn,,,,,,wiktionary,new,10,numeral; shave_says:1984
101,NN1,RRP,𐑢𐑳𐑯𐑴𐑢𐑳𐑯,ˌwʌnəʊˈwʌn,,,,,,wiktionary,new,10,numeral; shave_says:1984
105,NP0,GenAm,𐑢𐑩𐑯𐑴𐑓𐑲𐑝,wənoʊfaɪv,,,,,,wiktionary,new,10,numeral; shave_says:10x 𐑛𐑦𐑝𐑧𐑤𐑩𐑐𐑼
10x,AJ0,GenAm,𐑑𐑧𐑯𐑧𐑒𐑕,ˈtenˌeks,,,,,,wiktionary,new,10,numeral; shave_says:1984
10x,AJ0,GenAm,𐑑𐑧𐑯𐑑𐑲𐑥𐑟,ˈtenˌtaɪmz,,,,,,wiktionary,new,10,numeral; shave_says:1984
10x developer,NN1,GenAm,𐑑𐑧𐑯𐑧𐑒𐑕 𐑛𐑦𐑝𐑧𐑤𐑩𐑐𐑼,ˌteˈneks dɪˈveləpəR,,,,,,wiktionary,new,10,numeral; shave_says:1990s
10Xer,NN1,RRP,𐑑𐑧𐑯𐑧𐑒𐑕𐑼,ˌtenˈeksəR,,,,,,wiktionary,new,10,numeral; shave_says:110
110,NP0,GenAm,𐑢𐑩𐑯𐑢𐑩𐑯𐑴,wənwənoʊ,,,,,,wiktionary,new,10,numeral; shave_says:1𐑕𐑑
110,NP0,GenAm,𐑢𐑩𐑯𐑢𐑩𐑯𐑟𐑰𐑮𐑴,wənwənziːroʊ,,,,,,wiktionary,new,10,numeral; shave_says:1𐑕𐑑
110,NP0,GenAm,𐑢𐑩𐑯𐑑𐑧𐑯,wənten,,,,,,wiktionary,new,10,numeral; shave_says:1𐑕𐑑
1900s,NN1,RSSB,𐑯𐑲𐑯𐑑𐑰𐑯𐑣𐑳𐑯𐑛𐑮𐑩𐑛𐑟,naɪntiːnˈhʌndrədz,,,,,,wordnet,new,10,numeral; shave_says:1900s
1984,NP0,GenAm,𐑯𐑲𐑯𐑑𐑦𐑯𐑱𐑑𐑦𐑓𐑹,ˌnaɪntinˌeɪtiˈfɔːR,,,,,,wiktionary,new,10,numeral; shave_says:2.0
1984,NP0,RSSB,𐑯𐑲𐑯𐑑𐑰𐑯𐑱𐑑𐑦𐑓𐑷,ˌnaɪntiːnˌeɪtiˈfɔː,,,,,,wiktionary,new,10,numeral; shave_says:1990s
1984-ish,AJ0,RSSB,𐑯𐑳𐑦𐑯𐑑𐑰𐑯𐑱𐑑𐑦𐑓𐑹𐑦𐑖,ˌnʌɪntiːneɪtiˈfɔːrɪʃ,,,,,,wiktionary,new,10,numeral; shave_says:1𐑕𐑑
1990s,NN1,GenAm,𐑯𐑲𐑯𐑑𐑦𐑯𐑯𐑲𐑯𐑑𐑦𐑟,ˈnaɪntinˈnaɪntiz,,,,,,wordnet,new,10,numeral; shave_says:1990s
1990s,NN1,GenAm,𐑯𐑲𐑯𐑑𐑦𐑯𐑯𐑲𐑯𐑑𐑦𐑟,ˈnaɪntinˈnaɪntiz,,,,,,wiktionary,new,10,numeral; shave_says:24-𐑬𐑼 𐑒𐑤𐑪𐑒
1990s,NN1,GenAm,𐑯𐑲𐑯𐑑𐑦𐑯𐑯𐑲𐑑𐑦𐑟,ˈnaɪntinˈnaɪtiz,,,,,,wiktionary,new,10,numeral; shave_says:24-𐑬𐑼 𐑒𐑤𐑪𐑒
1990s,NN1,RSSB,𐑯𐑲𐑯𐑑𐑰𐑯𐑯𐑲𐑯𐑑𐑰𐑟,ˈnaɪntiːnˈnaɪntiːz,,,,,,wordnet,new,10,numeral; shave_says:1990s
1990s,NN1,RSSB,𐑯𐑲𐑯𐑑𐑰𐑯𐑯𐑲𐑯𐑑𐑰𐑟,ˈnaɪntiːnˈnaɪntiːz,,,,,,wiktionary,new,10,numeral; shave_says:24-𐑬𐑼 𐑒𐑤𐑪𐑒
1st,AJ0,RRP,𐑓𐑻𐑕𐑑,fɜːRst,,,,,,wiktionary+wordnet,new,10,numeral; shave_says:1𐑕𐑑
2.0,AJ0,GenAm,𐑑𐑫 𐑐𐑶𐑯𐑑 𐑴,tu pɔɪnt oʊ,,,,,,wiktionary,new,10,numeral; shave_says:360 𐑯𐑴𐑕𐑒𐑴𐑐
2.0,AJ0,GenAm,𐑑𐑫 𐑐𐑶𐑯𐑴,tu pɔɪˈnoʊ,,,,,,wiktionary,new,10,numeral; shave_says:360 𐑯𐑴𐑕𐑒𐑴𐑐
24-hour clock,NN1,CotCaught,𐑑𐑢𐑧𐑯𐑑𐑦𐑓𐑹𐑬𐑼 𐑒𐑤𐑷𐑒,ˌtwentiˈfɔːRˌaʊər ˈklɒk,,,,,,wiktionary,new,10,cot-caught variant of GenAm 𐑑𐑢𐑧𐑯𐑑𐑦𐑓𐑹𐑬𐑼 𐑒𐑤𐑪𐑒
24-hour clock,NN1,RRP,𐑑𐑢𐑧𐑯𐑑𐑦𐑓𐑹𐑬𐑼 𐑒𐑤𐑪𐑒,twentifɔːraʊəR ˈklɒk,,,,,,wiktionary,new,10,numeral; shave_says:3D 𐑐𐑮𐑦𐑯𐑑𐑩𐑛
30th,AJ0,RRP,𐑔𐑻𐑑𐑾𐑔,ˈθɜːtiəθ,,,,,,wiktionary,new,10,numeral; shave_says:3D 𐑐𐑮𐑦𐑯𐑑𐑼
360 noscope,NN1,GenAm,𐑔𐑮𐑦𐑕𐑦𐑒𐑕𐑑𐑦𐑯𐑴𐑕𐑒𐑴𐑐,θrisɪkstiˈnoʊskoʊp,,,,,,wiktionary,new,10,numeral; shave_says:401(𐑒)
360 noscope,VVI,GenAm,𐑔𐑮𐑦𐑕𐑦𐑒𐑕𐑑𐑦𐑯𐑴𐑕𐑒𐑴𐑐,θrisɪkstiˈnoʊskoʊp,,,,,,wiktionary,new,10,numeral; shave_says:401(𐑒)
3D printed,AJ0,GenAm,𐑔𐑮𐑦 𐑛𐑦 𐑐𐑮𐑦𐑯𐑑𐑩𐑛,ˈθri ˈdi ˈprɪntƏd,,,,,,wiktionary,new,10,numeral; shave_says:404 𐑐𐑱𐑡
3D printed,AJ0,RSSB,𐑔𐑮𐑰 𐑛𐑰 𐑐𐑮𐑦𐑯𐑑𐑩𐑛,θriː diː prɪntəd,,,,,,wiktionary,new,10,numeral; shave_says:404
3D printed,VVI,GenAm,𐑔𐑮𐑦 𐑛𐑦 𐑐𐑮𐑦𐑯𐑑𐑩𐑛,ˈθri ˈdi ˈprɪntƏd,,,,,,wiktionary,new,10,numeral; shave_says:404 𐑐𐑱𐑡
3D printed,VVI,RSSB,𐑔𐑮𐑰 𐑛𐑰 𐑐𐑮𐑦𐑯𐑑𐑩𐑛,θriː diː prɪntəd,,,,,,wiktionary,new,10,numeral; shave_says:404
3D printer,NN1,GenAm,𐑔𐑮𐑦 𐑛𐑦 𐑐𐑮𐑦𐑯𐑑𐑼,ˈθri ˈdi ˈprɪntəR,,,,,,wiktionary,new,10,numeral; shave_says:40𐑒
3D printer,NN1,GenAm,𐑔𐑮𐑦 𐑛𐑦 𐑐𐑮𐑦𐑑𐑼,ˈθri ˈdi ˈprɪtəR,,,,,,wiktionary,new,10,numeral; shave_says:40𐑒
3D printer,NN1,RSSB,𐑔𐑮𐑰 𐑛𐑰 𐑐𐑮𐑦𐑯𐑑𐑼,θriː diː prɪntər,,,,,,wiktionary,new,10,numeral; shave_says:40𐑒
401(k),NN1,GenAm,𐑓𐑹𐑴𐑢𐑳𐑯𐑒𐑱,fɔːRoʊwʌnkeɪ,,,,,,wiktionary,new,10,numeral; shave_says:470
404,AJ0,RSSB,𐑓𐑹𐑴𐑓𐑹,ˈfɔːrəʊˌfɔːr,,,,,,wiktionary,new,10,numeral; shave_says:470
404,NN1,RSSB,𐑓𐑹𐑴𐑓𐑹,ˈfɔːrəʊˌfɔːr,,,,,,wiktionary,new,10,numeral; shave_says:470
404,VVI,RSSB,𐑓𐑹𐑴𐑓𐑹,ˈfɔːrəʊˌfɔːr,,,,,,wiktionary,new,10,numeral; shave_says:470
404 page,NN1,GenAm,𐑓𐑹𐑴𐑓𐑹𐑐𐑱𐑡,ˌfɔːRoʊˈfɔːRpeɪdʒ,,,,,,wiktionary,new,10,numeral; shave_says:4tran
40k,NP0,GenAm,𐑓𐑹𐑑𐑦 𐑒𐑱,ˈfɔːRti keɪ,,,,,,wiktionary,new,10,numeral; shave_says:7-·𐑦𐑤𐑧𐑝𐑩𐑯
40k,NP0,RSSB,𐑓𐑷𐑑𐑰 𐑒𐑱,fɔːtiː keɪ,,,,,,wiktionary,new,10,numeral; shave_says:4tran
40k,NP0,RSSB,𐑓𐑷𐑑𐑦 𐑒𐑱,ˈfɔːti keɪ,,,,,,wiktionary,new,10,numeral; shave_says:4tran
470,NN1,GenAm,𐑓𐑹𐑕𐑧𐑝𐑩𐑯𐑑𐑦,ˌfɔːRˈsevənti,,,,,,wiktionary,new,10,numeral; shave_says:747
470,NN1,RSSB,𐑓𐑷𐑕𐑧𐑝𐑦𐑯𐑑𐑦,ˌfɔːˈsevɪnti,,,,,,wiktionary,new,10,numeral; shave_says:747
4tran,NP0,RRP,𐑓𐑹𐑑𐑮𐑨𐑯,fɔːRtræn,,,,,,wiktionary,new,10,numeral; shave_says:999
7-Eleven,AJ0,GenAm,𐑕𐑧𐑝𐑩𐑯 𐑩𐑤𐑧𐑝𐑩𐑯,ˌsevən əˈlevən,,,,,,wiktionary,new,10,numeral; shave_says:𐑩 ·𐑒𐑹𐑵𐑯𐑩
7-Eleven,NN1,GenAm,𐑕𐑧𐑝𐑩𐑯 𐑩𐑤𐑧𐑝𐑩𐑯,ˌsevən əˈlevən,,,,,,wiktionary,new,10,numeral; shave_says:𐑩 ·𐑒𐑹𐑵𐑯𐑩
7-Eleven,NP0,GenAm,𐑕𐑧𐑝𐑩𐑯 𐑩𐑤𐑧𐑝𐑩𐑯,ˌsevən əˈlevən,,,,,,wiktionary,new,10,numeral; shave_says:𐑩 ·𐑒𐑹𐑵𐑯𐑩
747,NN1,GenAm,𐑕𐑧𐑝𐑩𐑯𐑓𐑹𐑑𐑦𐑕𐑧𐑝𐑩𐑯,ˌsevənfɔːRtiˈsevən,,,,,,wiktionary,new,10,numeral; shave_says:𐑩 𐑓 𐑧𐑓𐑼𐑑
