word	pos	var	shaw	ipa	confidence	source	status	readlex_var	shaw_override	pos_override	var_override	verdict	notes
%	UNC	GenAm	𐑐𐑼𐑕𐑧𐑯𐑑	pəRˈsent	89	wiktionary	new						
%	UNC	RSSB	𐑐𐑩𐑕𐑧𐑯𐑑	pəˈsent	89	wiktionary	new						
'akikiki	NN1	CotCaught	𐑷𐑒𐑦𐑒𐑰𐑒𐑦	ˌɒkɪˈkiːki	89	wiktionary	new						cot-caught variant of GenAm 𐑪𐑒𐑦𐑒𐑰𐑒𐑦
'akikiki	NN1	GenAm	𐑪𐑒𐑦𐑒𐑰𐑒𐑦	ˌɒkɪˈkiːki	89	wiktionary	new						
'cause	CJC	GenAm	𐑒𐑳𐑟	kʌz	89	wiktionary	new						
'cause	CJC	RSSB	𐑒𐑷𐑟	kɔz	89	wiktionary	new						
'cause	CJC	RSSB	𐑒𐑪𐑟	kɒz	89	wiktionary	new						
'cause	CJC	RSSB	𐑒𐑩𐑟	kəz	89	wiktionary	new						
'd	VVI	GenAm	𐑛	d	89	wiktionary	new						
'dswounds	ITJ	GenAm	𐑛𐑟𐑢𐑫𐑯𐑛𐑟	dzwundz	89	wiktionary	new						
'dswounds	ITJ	RSSB	𐑛𐑟𐑢𐑵𐑯𐑛𐑟	dzwuːndz	89	wiktionary	new						
'fore	PRP	RRP	𐑓𐑹	fɔːR	89	wiktionary	new						
'ganst	VVI	RSSB	𐑜𐑨𐑯𐑕𐑑	ɡænst	89	wiktionary	new						
'ho	NN1	GenAm	𐑣𐑴	hoʊ	89	wiktionary	new						
'kay	ITJ	GenAm	𐑒𐑱	keɪ	89	wiktionary	new						
'kay	ITJ	GenAm	𐑒𐑱𐑐	ˈkeɪp	89	wiktionary	new						
'mater	NN1	GenAm	𐑥𐑱𐑑𐑼	ˈmeɪtəR	89	wiktionary	new						
's	AV0	GenAm	𐑩𐑟	əz	89	wiktionary	new						
's	AV0	RRP	𐑦𐑟	ɪz	89	wiktionary	new						
's	CJC	GenAm	𐑩𐑟	əz	89	wiktionary	new						
's	CJC	RRP	𐑦𐑟	ɪz	89	wiktionary	new						
's	DT0	GenAm	𐑩𐑟	əz	89	wiktionary	new						
's	DT0	RRP	𐑦𐑟	ɪz	89	wiktionary	new						
's	PNP	GenAm	𐑩𐑟	əz	89	wiktionary	new						
's	PNP	RRP	𐑦𐑟	ɪz	89	wiktionary	new						
's	VVI	GenAm	𐑩𐑟	əz	89	wiktionary	new						
's	VVI	RRP	𐑦𐑟	ɪz	89	wiktionary	new						
's-Hertogenbosch	NP0	CotCaught	𐑕𐑻𐑑𐑴𐑜𐑩𐑯𐑚𐑷𐑕	ˌsɜːRtoʊɡənˈbɒs	89	wiktionary	new						cot-caught variant of GenAm 𐑕𐑻𐑑𐑴𐑜𐑩𐑯𐑚𐑪𐑕
's-Hertogenbosch	NP0	RRP	𐑕𐑻𐑑𐑴𐑜𐑩𐑯𐑚𐑪𐑕	ˌsɜːRtoʊɡənˈbɒs	89	wiktionary	new						
'splode	VVI	GenAm	𐑕𐑐𐑤𐑴𐑛	sploʊd	89	wiktionary	new						
'sup	UNC	GenAm	𐑕𐑳𐑐	sʌp	89	wiktionary	new						
'tude	NN1	GenAm	𐑑𐑫𐑛	tud	89	wiktionary	new						
'twasn't	UNC	RSSB	𐑑𐑢𐑪𐑟𐑩𐑯𐑑	ˈtwɒzənt	89	wiktionary	new						
'ullo	ITJ	RSSB	𐑳𐑤𐑴	ˈʌləʊ	89	wiktionary	new						
.com	NN1	CotCaught	𐑛𐑷𐑑𐑒𐑷𐑥	dɒtkɒm	89	wiktionary	new						cot-caught variant of GenAm 𐑛𐑪𐑑𐑒𐑪𐑥
.com	NN1	RRP	𐑛𐑪𐑑𐑒𐑪𐑥	dɒtkɒm	89	wiktionary	new						
/tttt/	NP0	GenAm	𐑑𐑦𐑑𐑦𐑑𐑦𐑑𐑦	ˌtiˌtiˌtiˈti	89	wiktionary	new						
/tttt/	NP0	RSSB	𐑑𐑰𐑑𐑰𐑑𐑰𐑑𐑰	ˌtiːˌtiːˌtiːˈtiː	89	wiktionary	new						
0	NN1	GenAm	𐑟𐑰𐑮𐑴	ˈziːrəʊ	10	wordnet	new						numeral; shave_says:0
0	NN1	GenAm	𐑟𐑰𐑮𐑴	ˈziːrəʊ	10	wiktionary	new						numeral; shave_says:0
0	NN1	RSSB	𐑟𐑽𐑴	ˈzɪərəʊ	10	wordnet	new						numeral; shave_says:0
0	NN1	RSSB	𐑟𐑽𐑴	ˈzɪərəʊ	10	wiktionary	new						numeral; shave_says:0
1	NN1	RSSB	𐑢𐑨𐑯	wan	10	wordnet	new						numeral; shave_says:1
1-2-3	NN1	GenAm	𐑢𐑳𐑯 𐑑𐑫 𐑔𐑮𐑦	wʌn tu θri	10	wiktionary	new						numeral; shave_says:1-2-3
1-2-3	NN1	RSSB	𐑢𐑳𐑯 𐑑𐑵 𐑔𐑮𐑰	wʌn tuː θriː	10	wiktionary	new						numeral; shave_says:1-2-3
1-2-3	VVI	GenAm	𐑢𐑳𐑯 𐑑𐑫 𐑔𐑮𐑦	wʌn tu θri	10	wiktionary	new						numeral; shave_says:1-2-3
1-2-3	VVI	RSSB	𐑢𐑳𐑯 𐑑𐑵 𐑔𐑮𐑰	wʌn tuː θriː	10	wiktionary	new						numeral; shave_says:1-2-3
1-up	NN1	RSSB	𐑢𐑪𐑯 𐑳𐑐	wɒn ʌp	10	wiktionary	new						numeral; shave_says:1-𐑳𐑐
101	AJ0	RRP	𐑢𐑳𐑯𐑴𐑢𐑳𐑯	ˌwʌnəʊˈwʌn	10	wiktionary	new						numeral; shave_says:101
101	DT0	GenAm	𐑢𐑳𐑯 𐑣𐑳𐑯𐑛𐑮𐑩𐑛𐑩𐑯𐑢𐑳𐑯	ˌwʌn ˌhʌndrədənˈwʌn	10	wiktionary	new						numeral; shave_says:101
101	DT0	RRP	𐑩 𐑣𐑳𐑯𐑛𐑮𐑩𐑛 𐑩𐑯 𐑢𐑳𐑯	ə ˌhʌndrəd ən ˈwʌn	10	wiktionary	new						numeral; shave_says:101
