word	shaw	ipa	pos	var	confidence	notes
'cos	𐑒𐑩𐑟	kˈəz	UNC	RSSB	89	shave_says:'𐑒𐑪𐑕
'd	𐑛	d	UNC	RSSB	89	shave_says:'𐑛
'd	𐑩𐑛	əd	UNC	RSSB	89	shave_says:'𐑛
'll	𐑤	l	UNC	RSSB	89	shave_says:'ll
'll	𐑩𐑤	əl	UNC	RSSB	89	shave_says:'ll
'm	𐑩𐑥	əm	UNC	RSSB	89	shave_says:'𐑥
're	𐑼	əR	UNC	RSSB	89	shave_says:'𐑮𐑰
's	𐑟	z	UNC	RSSB	89	shave_says:'𐑟
's	𐑕	s	UNC	RSSB	89	shave_says:'𐑟
've	𐑝	v	UNC	RSSB	89	shave_says:'𐑝𐑰
've	𐑩𐑝	əv	UNC	RSSB	89	shave_says:'𐑝𐑰
aaron	𐑺𐑼𐑯	eərəRn	UNC	RSSB	89	shave_says:𐑨𐑮𐑩𐑯
adidas	𐑨𐑛𐑦𐑛𐑩𐑕	ˈædɪdəs	UNC	RSSB	89	shave_says:𐑩𐑛𐑰𐑛𐑩𐑕
adirondack	𐑨𐑛𐑦𐑮𐑪𐑯𐑛𐑨𐑒	ædɪrɒndæk	UNC	RSSB	89	shave_says:𐑨𐑛𐑼𐑪𐑯𐑛𐑨𐑒
adjacency	𐑩𐑡𐑱𐑕𐑩𐑯𐑕𐑦	ədʒˈeɪsənsi	UNC	RSSB	89	shave_says:𐑨𐑛𐑡𐑩𐑕𐑩𐑯𐑕𐑦
aigburth	𐑧𐑜𐑚𐑼𐑔	eɡbəRθ	UNC	RSSB	89	shave_says:𐑱𐑜𐑚𐑼𐑔
aldeburgh	𐑷𐑤𐑚𐑮𐑩	ɔːlbrə	UNC	RSSB	89	shave_says:𐑷𐑤𐑛𐑚𐑼𐑩
alnick	𐑨𐑯𐑦𐑒	ˈænɪk	UNC	RSSB	89	shave_says:𐑭𐑤𐑯𐑦𐑒
alresford	𐑹𐑤𐑟𐑓𐑼𐑛	ɔːRlzfəRd	UNC	RSSB	89	shave_says:𐑷𐑤𐑕𐑓𐑼𐑛
alsager	𐑪𐑤𐑕𐑱𐑡𐑼	ɒlseɪdʒəR	UNC	RSSB	89	shave_says:𐑭𐑤𐑟𐑦𐑡𐑼
althorp	𐑹𐑤𐑔𐑹𐑐	ɔːRlθɔːRp	UNC	RSSB	89	shave_says:𐑷𐑤𐑔𐑹𐑐
althorp	𐑹𐑤𐑑𐑮𐑼𐑐	ɔːRltrəRp	UNC	RSSB	89	shave_says:𐑷𐑤𐑔𐑹𐑐
americas	𐑼𐑥𐑧𐑮𐑦𐑒𐑩𐑟	əRmerɪkəz	UNC	RSSB	89	shave_says:𐑩𐑥𐑧𐑮𐑦𐑒𐑩𐑟
ana	𐑨𐑯𐑩	ˈænə	UNC	RSSB	89	shave_says:𐑭𐑯𐑩
andrea	𐑨𐑯𐑛𐑮𐑱𐑩	ændreɪə	UNC	RSSB	89	shave_says:𐑨𐑯𐑛𐑮𐑾
andreas	𐑪𐑯𐑛𐑮𐑱𐑩𐑕	ɒndreɪəs	UNC	RSSB	89	shave_says:𐑭𐑯𐑛𐑮𐑱𐑩𐑕
antivirus	𐑨𐑯𐑑𐑦𐑝𐑲𐑮𐑼𐑕	æntɪvaɪrəRs	UNC	RSSB	89	shave_says:𐑨𐑯𐑑𐑦𐑝𐑲𐑮𐑩𐑕
argyll	𐑸𐑜𐑲𐑤	ɑːRɡaɪl	UNC	RSSB	89	shave_says:𐑸𐑜𐑦𐑤
armaggedon	𐑸𐑥𐑩𐑜𐑧𐑛𐑩𐑯	ɑːRməɡedən	UNC	RSSB	89	shave_says:𐑸𐑥𐑨𐑜𐑛𐑩𐑯
ars	𐑸𐑟	ɑːRz	UNC	RSSB	89	shave_says:𐑸𐑕
aruba	𐑼𐑵𐑚𐑩	əruːbə	UNC	RSSB	89	shave_says:𐑸𐑵𐑚𐑩
asda	𐑨𐑕𐑛𐑩	ˈæsdə	UNC	RSSB	89	shave_says:𐑭𐑟𐑛𐑩
aslackby	𐑱𐑟𐑩𐑤𐑚𐑦	ˈeɪzəlbi	UNC	RSSB	89	shave_says:𐑱𐑕𐑤𐑨𐑒𐑚𐑦
