word	shaw	ipa	pos	var	confidence
%	𐑐𐑩𐑕𐑧𐑯𐑑	pəˈsent	UNC	RSSB	high
%	𐑐𐑼𐑕𐑧𐑯𐑑	pəRˈsent	UNC	RGAM	high
'akikiki	𐑪𐑒𐑦𐑒𐑰𐑒𐑦	ˌɒkɪˈkiːki	NN1	RGAM	high
'cause	𐑒𐑩𐑟	kəz	CJC	RSSB	high
'cause	𐑒𐑪𐑟	kɒz	CJC	RSSB	high
'cause	𐑒𐑳𐑟	kʌz	CJC	RGAM	high
'cause	𐑒𐑷𐑟	kɔz	CJC	RSSB	high
'd	𐑛	d	VVI	RGAM	high
'dswounds	𐑛𐑟𐑢𐑫𐑯𐑛𐑟	dzwundz	ITJ	RGAM	high
'dswounds	𐑛𐑟𐑢𐑵𐑯𐑛𐑟	dzwuːndz	ITJ	RSSB	high
'fore	𐑓𐑹	fɔːR	PRP	RSSB	high
'ganst	𐑜𐑨𐑯𐑕𐑑	ɡænst	VVI	RSSB	high
'ho	𐑣𐑴	hoʊ	NN1	RGAM	high
'kay	𐑒𐑱	keɪ	ITJ	RGAM	high
'mater	𐑥𐑱𐑑𐑼	ˈmeɪtəR	NN1	RGAM	high
's	𐑦𐑟	ɪz	VVI	RSSB	high
's	𐑩𐑟	əz	VVI	RGAM	high
's-hertogenbosch	𐑕𐑺-	ˌseər-	NP0	RGAM	high
's-hertogenbosch	𐑕𐑻𐑑𐑴𐑜𐑩𐑯𐑚𐑪𐑕	sɜːRtəʊɡənbɒs	NP0	RSSB	high
'splode	𐑕𐑐𐑤𐑴𐑛	sploʊd	VVI	RGAM	high
'sup	𐑕𐑳𐑐	sʌp	UNC	RGAM	high
'tude	𐑑𐑫𐑛	tud	NN1	RGAM	high
'twasn't	𐑑𐑢𐑪𐑟𐑩𐑯𐑑	ˈtwɒzənt	UNC	RSSB	high
'ullo	𐑳𐑤𐑴	ˈʌləʊ	ITJ	RSSB	high
-'s	𐑦𐑟	ɪz	UNC	RSSB	high
-'s	𐑩𐑟	əz	UNC	RGAM	high
-ability	-𐑩𐑚𐑦𐑤𐑦𐑑𐑦	-əˈbɪlɪti	UNC	RSSB	high
-ability	-𐑩𐑚𐑦𐑤𐑩𐑑𐑦	-əˈbɪləti	UNC	RSSB	high
-ac	𐑨𐑒	æk	UNC	RSSB	high
-acal	𐑩𐑒𐑩𐑤	əkəl	UNC	RSSB	high
-acy	-𐑩𐑕𐑦	-əsi	UNC	RGAM	high
-acy	-𐑩𐑕𐑰	-əsiː	UNC	RSSB	high
-adol	𐑩𐑛𐑪𐑤	ədɒl	UNC	RSSB	high
-adol	𐑩𐑛𐑷𐑤	əˌdɔːl	UNC	RGAM	high
-ahh	𐑭	ɑː	UNC	RGAM	high
-alog	𐑩𐑤𐑷𐑜	əˌlɔːɡ	UNC	RGAM	high
-alogue	𐑩𐑤𐑪𐑜	əˌlɒɡ	UNC	RSSB	high
-alogue	𐑩𐑤𐑷𐑜	əˌlɔːɡ	UNC	RGAM	high
-alol	𐑩𐑤𐑪𐑤	əlɒl	UNC	RSSB	high
