word	shaw	ipa	pos	var	confidence	notes
aalii	𐑭𐑤𐑰𐑰	ɑːˈliːiː	NN1	RSSB	89	shave_says:𐑱𐑱𐑤𐑦
aalii	𐑪𐑤𐑰𐑰	ɒˈliːˌiː	NN1	GenAm	89	shave_says:𐑱𐑱𐑤𐑦
aare	𐑸𐑩	ˈɑːRə	NN1	GenAm	89	shave_says:𐑱𐑸
aba	𐑩𐑚𐑭	əˈbɑː	NN1	RSSB	89	shave_says:[𐑨𐑚𐑩 / 𐑱𐑚𐑰𐑱 / 𐑭𐑚𐑧𐑩]
abaca	𐑨𐑚𐑩𐑒𐑭	ˌæbəˈkɑː	NN1	RSSB	89	shave_says:𐑨𐑚𐑩𐑒𐑩
abaca	𐑨𐑚𐑩𐑒𐑪	ˌæbəˈkɒ	NN1	GenAm	89	shave_says:𐑨𐑚𐑩𐑒𐑩
abacinate	𐑨𐑚𐑨𐑕𐑦𐑯𐑱𐑑	æbˈæsɪneɪt	VVI	RSSB	89	shave_says:[𐑨𐑚𐑩𐑒𐑦𐑯𐑱𐑑 / 𐑨𐑚𐑩𐑒𐑰𐑯𐑱𐑑 / 𐑱𐑚𐑱𐑒𐑦𐑯𐑱𐑑 / 𐑨𐑚𐑱𐑕𐑦𐑯𐑱𐑑]
abactinal	𐑨𐑚𐑨𐑒𐑑𐑩𐑯𐑩𐑤	æˈbæktənəl	AJ0	GenAm	89	shave_says:[𐑨𐑚𐑩𐑒𐑑𐑦𐑯𐑩𐑤 / 𐑱𐑚𐑨𐑒𐑑𐑦𐑯𐑩𐑤 / 𐑨𐑚𐑨𐑒𐑑𐑦𐑯𐑩𐑤 / 𐑨𐑚𐑩𐑒𐑑𐑰𐑯𐑩𐑤]
abadan	𐑪𐑚𐑪𐑛𐑪𐑯	ˌɒbɒˈdɒn	NN1	GenAm	89	shave_says:[𐑩𐑚𐑭𐑛𐑩𐑯 / 𐑨𐑚𐑩𐑛𐑭𐑯 / 𐑱𐑚𐑭𐑛𐑩𐑯 / 𐑨𐑚𐑱𐑛𐑩𐑯]
abampere	𐑨𐑚𐑨𐑥𐑐𐑽	æbæmpɪəR	NN1	RSSB	89	shave_says:𐑨𐑚𐑨𐑥𐑐𐑺
abampere	𐑨𐑚𐑨𐑥𐑐𐑦𐑮	æˈbæmpɪr	NN1	GenAm	89	shave_says:𐑨𐑚𐑨𐑥𐑐𐑺
abasia	𐑩𐑚𐑱𐑠𐑩	əˈbeɪʒə	NN1	RSSB	89	shave_says:[𐑨𐑚𐑱𐑠𐑩 / 𐑩𐑚𐑱𐑕𐑦𐑩 / 𐑱𐑚𐑱𐑕𐑦𐑩]
abatic	𐑩𐑚𐑨𐑑𐑦𐑒	əˈbætɪk	AJ0	GenAm	89	shave_says:[𐑨𐑚𐑨𐑑𐑦𐑒 / 𐑩𐑚𐑱𐑑𐑦𐑒 / 𐑭𐑚𐑧𐑨𐑑𐑦𐑒 / 𐑱𐑚𐑱𐑑𐑦𐑒 / 𐑨𐑚𐑱𐑑𐑦𐑒]
abatis	𐑨𐑚𐑩𐑑𐑰	ˈæbəˌtiː	NN1	GenAm	89	shave_says:[𐑩𐑚𐑱𐑑𐑦𐑕 / 𐑩𐑚𐑱𐑑𐑦𐑟 / 𐑱𐑚𐑱𐑑𐑦𐑕 / 𐑨𐑚𐑨𐑑𐑦𐑕 / 𐑨𐑚𐑱𐑑𐑦𐑕]
abattis	𐑩𐑚𐑨𐑑𐑦𐑕	əˈbætɪs	NN1	GenAm	89	shave_says:[𐑱𐑚𐑨𐑑𐑦𐑕 / 𐑨𐑚𐑨𐑑𐑦𐑕 / 𐑨𐑚𐑨𐑑𐑦𐑟]
abaya	𐑩𐑚𐑱𐑘𐑩	əˈbeɪjə	NN1	GenAm	89	shave_says:𐑩𐑚𐑲𐑩
abb	𐑨𐑚	æb	NN1	GenAm	89	shave_says:𐑱𐑚
