word	pos	var	shaw	ipa	verdict	shaw_override	pos_override	var_override	ipa_override	source	status	confidence	notes
'em	PNP	RRP	𐑩𐑥	əm	RRP					readlex	readlex	100	
'neath	PRP	RRP	𐑯𐑰𐑔	niːθ	RRP					readlex	readlex	100	
'pon	PRP	RRP	𐑐𐑪𐑯	pɒn	RRP					readlex	readlex	100	
'shun	ITJ	RRP	𐑖𐑳𐑯	ʃʌn	RRP					readlex	readlex	100	
'tis	PNP+VBZ	RRP	𐑑𐑦𐑟	tɪz	RRP					readlex	readlex	100	
'twas	PNP+VBD	GenAm	𐑑𐑢𐑳𐑟	twʌz	GenAm					readlex	readlex	100	
'twas	PNP+VBD	RRP	𐑑𐑢𐑪𐑟	twɒz	RRP					readlex	readlex	100	
'tween	AV0	RRP	𐑑𐑢𐑰𐑯	twiːn	RRP					readlex	readlex	100	
'tween	PRP	RRP	𐑑𐑢𐑰𐑯	twiːn	RRP					readlex	readlex	100	
'tween-decks	AV0	RRP	𐑑𐑢𐑰𐑯-𐑛𐑧𐑒𐑕	ˈtwiːn-deks	RRP					readlex	readlex	100	
'twere	PNP+VBD	RRP	𐑑𐑢𐑻	twɜːR	RRP					readlex	readlex	100	
'twill	PNP+VM0	RRP	𐑑𐑢𐑦𐑤	twɪl	RRP					readlex	readlex	100	
'twixt	PRP	RRP	𐑑𐑢𐑦𐑒𐑕𐑑	twɪkst	RRP					readlex	readlex	100	
'twould	PNP+VM0	RRP	𐑑𐑢𐑫𐑛	twʊd	RRP					readlex	readlex	100	
'un	PNI	RRP	𐑩𐑯	ən	RRP					readlex	readlex	100	
a	AT0	RRP	𐑩	ə	RRP					readlex	readlex	100	
a	ZZ0	RRP	𐑱	eɪ	RRP					readlex	readlex	100	
a bit	AV0	RRP	𐑩 𐑚𐑦𐑑	ə ˈbɪt	RRP					readlex	readlex	100	
a fortiori	AV0	RRP	𐑱 𐑓𐑹𐑑𐑦𐑹𐑲	ˌeɪ ˌfɔːRtɪˈɔːraɪ	RRP					readlex	readlex	100	
a great deal	AV0	RRP	𐑩 𐑜𐑮𐑱𐑑 𐑛𐑰𐑤	ə ˈɡreɪt ˌdiːl	RRP					readlex	readlex	100	
