type	word	pos	var	ipa	shaw_fragment	full_ipa	full_shaw	confidence
affix	-'s	UNC	RSSB	ɪz	𐑦𐑟	ɪz	𐑦𐑟	89
affix	-'s	UNC	GenAm	ɪz	𐑦𐑟	ɪz	𐑦𐑟	89
affix	-'s	UNC	GenAm	əz	𐑩𐑟	ɪz	𐑦𐑟	89
affix	-ability	UNC	RSSB	-əˈbɪlɪti	-𐑩𐑚𐑦𐑤𐑦𐑑𐑦			97
affix	-ability	UNC	RSSB	-əˈbɪləti	-𐑩𐑚𐑦𐑤𐑩𐑑𐑦			89
affix	-ability	UNC	GenAm	-əˈbɪləti	-𐑩𐑚𐑦𐑤𐑩𐑑𐑦			89
affix	-ac	UNC	RSSB	æk	𐑨𐑒			89
affix	-ac	UNC	GenAm	æk	𐑨𐑒			89
affix	-acal	UNC	RSSB	əkəl	𐑩𐑒𐑩𐑤			89
affix	-acal	UNC	GenAm	əkəl	𐑩𐑒𐑩𐑤			89
affix	-acy	UNC	RSSB	-əsiː	-𐑩𐑕𐑰			89
affix	-acy	UNC	GenAm	-əsi	-𐑩𐑕𐑦			89
affix	-adol	UNC	RSSB	ədɒl	𐑩𐑛𐑪𐑤			89
affix	-adol	UNC	GenAm	əˌdɒl	𐑩𐑛𐑪𐑤			89
affix	-ahh	UNC	GenAm	æː	𐑨ː			1
affix	-ahh	UNC	GenAm	ɑː	𐑭			89
affix	-alog	UNC	GenAm	əˌlɒɡ	𐑩𐑤𐑪𐑜			89
affix	-alogue	UNC	RSSB	əˌlɒɡ	𐑩𐑤𐑪𐑜			89
affix	-alogue	UNC	GenAm	əˌlɒɡ	𐑩𐑤𐑪𐑜			89
affix	-alol	UNC	RSSB	əlɒl	𐑩𐑤𐑪𐑤			89
affix	-alol	UNC	GenAm	əˌlɒl	𐑩𐑤𐑪𐑤			89
affix	-amivir	UNC	RSSB	amɪvɪəR	𐑨𐑥𐑦𐑝𐑽			89
affix	-amivir	UNC	GenAm	ˈæmɪˌvɪr	𐑨𐑥𐑦𐑝𐑦𐑮			89
affix	-andry	UNC	RSSB	-andri	-𐑨𐑯𐑛𐑮𐑦			97
affix	-arabine	UNC	RSSB	arəRbiːn	𐑨𐑮𐑼𐑚𐑰𐑯			89
affix	-arabine	UNC	GenAm	ˈærəˌbin	𐑨𐑮𐑩𐑚𐑦𐑯			89
affix	-arol	UNC	RSSB	ərɒl	𐑼𐑪𐑤			89
affix	-arol	UNC	GenAm	əˌrɒl	𐑼𐑪𐑤			89
affix	-arone	UNC	RSSB	ərəʊn	𐑼𐑴𐑯			89
affix	-arone	UNC	GenAm	əˌroʊn	𐑼𐑴𐑯			89
affix	-arotene	UNC	RSSB	arəRtiːn	𐑨𐑮𐑼𐑑𐑰𐑯			89
affix	-arotene	UNC	GenAm	ˈerəˌtiːn	𐑧𐑮𐑩𐑑𐑰𐑯			89
affix	-ary	UNC	RSSB	əri	𐑼𐑦			89
affix	-ary	UNC	GenAm	əri	𐑼𐑦			89
affix	-ary	UNC	RSSB	ri	𐑮𐑦			89
affix	-ary	UNC	GenAm	eri	𐑧𐑮𐑦			89
affix	-asvir	UNC	RSSB	əsvɪəR	𐑩𐑕𐑝𐑽			89
affix	-asvir	UNC	GenAm	əsˌvɪr	𐑩𐑕𐑝𐑦𐑮			89
affix	-azepam	UNC	RSSB	ˈeɪzɪpam	𐑱𐑟𐑦𐑐𐑨𐑥			89
affix	-azepam	UNC	RSSB	ˈazɪpam	𐑨𐑟𐑦𐑐𐑨𐑥			89
affix	-azepam	UNC	GenAm	ˈæzəˌpæm	𐑨𐑟𐑩𐑐𐑨𐑥			89
affix	-azepate	UNC	RSSB	ˈeɪzɪpeɪt	𐑱𐑟𐑦𐑐𐑱𐑑			89
affix	-azepate	UNC	RSSB	ˈazɪpeɪt	𐑨𐑟𐑦𐑐𐑱𐑑			89
affix	-azepate	UNC	GenAm	ˈæzəˌpeɪt	𐑨𐑟𐑩𐑐𐑱𐑑			89
affix	-azocine	UNC	RSSB	ˈazəʊsiːn	𐑨𐑟𐑴𐑕𐑰𐑯			89
affix	-azocine	UNC	GenAm	ˈæzəˌsin	𐑨𐑟𐑩𐑕𐑦𐑯			89
affix	-azolam	UNC	RSSB	ˈeɪzəʊlæm	𐑱𐑟𐑴𐑤𐑨𐑥			89
affix	-azolam	UNC	GenAm	ˈæzəˌlæm	𐑨𐑟𐑩𐑤𐑨𐑥			89
affix	-barb-	UNC	RSSB	bɑːRb	𐑚𐑸𐑚			89
affix	-barb-	UNC	GenAm	bɑːRb	𐑚𐑸𐑚			89
affix	-betasol	UNC	RSSB	ˈbiːtəsɒl	𐑚𐑰𐑑𐑩𐑕𐑪𐑤			89
affix	-betasol	UNC	GenAm	ˈbeɪtəˌsɒl	𐑚𐑱𐑑𐑩𐑕𐑪𐑤			89
affix	-biont	UNC	RSSB	ˈbaɪɒnt	𐑚𐑲𐑪𐑯𐑑			89
affix	-biont	UNC	GenAm	ˈbaɪɒnt	𐑚𐑲𐑪𐑯𐑑			89
affix	-blr	UNC	RSSB	-bləR	-𐑚𐑤𐑼			89
affix	-blr	UNC	GenAm	-blər	-𐑚𐑤𐑼			89
affix	-borough	UNC	RSSB	-brə	-𐑚𐑮𐑩	bʌrə	𐑚𐑳𐑮𐑩	89
affix	-borough	UNC	RSSB	-bərə	-𐑚𐑼𐑩	bʌrə	𐑚𐑳𐑮𐑩	89
affix	-bury	UNC	RSSB	-bri	-𐑚𐑮𐑦			89
affix	-bury	UNC	RSSB	-brɪ	-𐑚𐑮𐑦			89
affix	-bury	UNC	RSSB	-bəri	-𐑚𐑼𐑦			89
affix	-bury	UNC	RSSB	-bərɪ	-𐑚𐑼𐑦			89
affix	-buterol	UNC	RSSB	bjuːtərɒl	𐑚𐑿𐑑𐑼𐑪𐑤			89
affix	-buterol	UNC	GenAm	ˈbjutəˌrɒl	𐑚𐑘𐑫𐑑𐑼𐑪𐑤			89
affix	-buvir	UNC	RSSB	bjəvɪəR	𐑚𐑘𐑩𐑝𐑽			89
affix	-buvir	UNC	GenAm	bjəˌvɪr	𐑚𐑘𐑩𐑝𐑦𐑮			89
affix	-capone	UNC	RSSB	kəpəʊn	𐑒𐑩𐑐𐑴𐑯			89
affix	-capone	UNC	GenAm	kəˌpoʊn	𐑒𐑩𐑐𐑴𐑯			89
affix	-carnil	UNC	RSSB	kɑːRnɪl	𐑒𐑸𐑯𐑦𐑤			89
affix	-carnil	UNC	GenAm	ˈkɑːRnɪl	𐑒𐑸𐑯𐑦𐑤			89
affix	-cavir	UNC	RSSB	kəvɪəR	𐑒𐑩𐑝𐑽			89
affix	-cavir	UNC	GenAm	kəˌvɪr	𐑒𐑩𐑝𐑦𐑮			89
affix	-cest	UNC	RSSB	-sest	-𐑕𐑧𐑕𐑑			89
affix	-cha	PNP	RSSB	tʃjə	𐑗𐑘𐑩			89
affix	-cha	PNP	RSSB	tʃjæ	𐑗𐑘𐑨			89
