word	our_shaw	our_ipa	var	confidence	readlex_shaw	readlex_ipa	notes
abattoir	𐑨𐑚𐑩𐑑𐑢𐑭	æbətwɑː	RRP	1	𐑨𐑚𐑩𐑑𐑢𐑸	ˈæbətwɑːR	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑨𐑚𐑩𐑑𐑢𐑸
accordion	𐑩𐑒𐑷𐑛𐑦𐑩𐑯	əkɔdiən	RRP	1	𐑩𐑒𐑹𐑛𐑾𐑯	əˈkɔːRdɪən	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑩𐑒𐑹𐑛𐑾𐑯
acquirement	𐑩𐑒𐑢𐑲𐑩𐑥𐑩𐑯𐑑	əkwaɪəmənt	RRP	1	𐑩𐑒𐑢𐑲𐑼𐑥𐑩𐑯𐑑	əˈkwaɪəRmənt	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑩𐑒𐑢𐑲𐑼𐑥𐑩𐑯𐑑
acres	𐑱𐑒𐑩𐑟	eɪkəz	RRP	1	𐑱𐑒𐑼𐑟	ˈeɪkəRz	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑱𐑒𐑼𐑟
alteration	𐑪𐑤𐑑𐑩𐑱𐑖𐑩𐑯	ɒltəeɪʃən	RRP	1	𐑷𐑤𐑑𐑼𐑱𐑖𐑩𐑯	ˌɔːltəˈreɪʃən	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑷𐑤𐑑𐑼𐑱𐑖𐑩𐑯
atelier	𐑨𐑑𐑩𐑤𐑘𐑱	ætəljeɪ	RRP	1	𐑨𐑑𐑧𐑤𐑦𐑱	æˈtelieɪ	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑨𐑑𐑧𐑤𐑦𐑱
boudoir	𐑚𐑵𐑛𐑢𐑭	buːdwɑː	RRP	1	𐑚𐑵𐑛𐑢𐑸	ˈbuːdwɑːR	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑚𐑵𐑛𐑢𐑸
clerk	𐑒𐑤𐑭𐑒	klɑːk	RRP	1	𐑒𐑤𐑸𐑒	klɑːRk	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑒𐑤𐑸𐑒
cornpone	𐑒𐑷𐑯𐑐𐑴𐑯	kɔnpəʊn	RRP	1	𐑒𐑹𐑯𐑐𐑴𐑯	ˈkɔːRnpəʊn	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑒𐑹𐑯𐑐𐑴𐑯
derby	𐑛𐑭𐑚𐑦	dɑːbi	RRP	1	𐑛𐑸𐑚𐑦, 𐑛𐑻𐑚𐑦	ˈdɑːRbi	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑛𐑸𐑚𐑦
differentiable	𐑛𐑦𐑓𐑩𐑧𐑯𐑖𐑩𐑚𐑩𐑤	dɪfəenʃəbəl	RRP	1	𐑛𐑦𐑓𐑼𐑧𐑯𐑖𐑦𐑩𐑚𐑩𐑤	ˌdɪfəˈrenʃiəbəl	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑛𐑦𐑓𐑼𐑧𐑯𐑖𐑾𐑚𐑩𐑤
entirely	𐑦𐑯𐑑𐑲𐑩𐑤𐑦	ɪntaɪəli	RRP	1	𐑦𐑯𐑑𐑲𐑼𐑤𐑦	ɪnˈtaɪəRli	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑦𐑯𐑑𐑲𐑼𐑤𐑦
fibreglass	𐑓𐑲𐑚𐑩𐑜𐑤𐑭𐑕	faɪbəɡlɑːs	RRP	1	𐑓𐑲𐑚𐑼𐑜𐑤𐑨𐑕, 𐑓𐑲𐑚𐑼𐑜𐑤𐑭𐑕	ˈfaɪbəRɡlⱭːs	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑓𐑲𐑚𐑼𐑜𐑤𐑭𐑕
fireball	𐑓𐑲𐑩𐑚𐑷𐑤	faɪəbɔːl	RRP	1	𐑓𐑲𐑼𐑚𐑷𐑤	ˈfaɪəRbɔːl	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑓𐑲𐑼𐑚𐑷𐑤
firelight	𐑓𐑲𐑩𐑤𐑲𐑑	faɪəlaɪt	RRP	1	𐑓𐑲𐑼𐑤𐑲𐑑	ˈfaɪəRlaɪt	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑓𐑲𐑼𐑤𐑲𐑑
fireman	𐑓𐑲𐑩𐑥𐑩𐑯	faɪəmən	RRP	1	𐑓𐑲𐑼𐑥𐑩𐑯	ˈfaɪəRmən	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑓𐑲𐑼𐑥𐑩𐑯
fireplace	𐑓𐑲𐑩𐑐𐑤𐑱𐑕	faɪəpleɪs	RRP	1	𐑓𐑲𐑼𐑐𐑤𐑱𐑕	ˈfaɪəRpleɪs	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑓𐑲𐑼𐑐𐑤𐑱𐑕
firewood	𐑓𐑲𐑩𐑢𐑫𐑛	faɪəwʊd	RRP	1	𐑓𐑲𐑼𐑢𐑫𐑛	ˈfaɪəRwʊd	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑓𐑲𐑼𐑢𐑫𐑛
hireling	𐑣𐑲𐑩𐑤𐑦𐑙	haɪəlɪŋ	RRP	1	𐑣𐑲𐑼𐑤𐑦𐑙	ˈhaɪəRlɪŋ	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑣𐑲𐑼𐑤𐑦𐑙
horny	𐑣𐑷𐑯𐑦	hɔni	RRP	1	𐑣𐑹𐑯𐑦	ˈhɔːRni	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑣𐑹𐑯𐑦
hyperactive	𐑣𐑲𐑐𐑩𐑨𐑒𐑑𐑦𐑝	haɪpəæktɪv	RRP	1	𐑣𐑲𐑐𐑼𐑨𐑒𐑑𐑦𐑝	ˌhaɪpərˈæktɪv	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑣𐑲𐑐𐑼𐑨𐑒𐑑𐑦𐑝
iron	𐑲𐑩𐑯	aɪən	RRP	1	𐑲𐑼𐑯	ˈaɪəRn	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑲𐑼𐑯
irons	𐑲𐑩𐑯𐑟	aɪənz	RRP	1	𐑲𐑼𐑯𐑟	ˈaɪəRnz	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑲𐑼𐑯𐑟
latter-day	𐑤𐑨𐑑𐑩 𐑛𐑱	lætə deɪ	RRP	1	𐑤𐑨𐑑𐑼-𐑛𐑱	ˈlætəR-deɪ	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑤𐑨𐑑𐑼-𐑛𐑱
memoir	𐑥𐑧𐑥𐑢𐑭	memwɑː	RRP	1	𐑥𐑧𐑥𐑢𐑸	ˈmemwɑːR	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑥𐑧𐑥𐑢𐑸
modern	𐑥𐑪𐑛𐑯	mɒdn	RRP	1	𐑥𐑪𐑛𐑼𐑯	ˈmɒdəRn	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑥𐑪𐑛𐑼𐑯
mrs	𐑥𐑦𐑕𐑩𐑟	mɪsƏz	RRP	1	𐑥𐑕𐑟	ˈmɪsɪz	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑥𐑕𐑟
namer	𐑯𐑱𐑥𐑧	neɪme	RRP	1	𐑯𐑱𐑥𐑼	ˈneɪməR	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑯𐑱𐑥𐑼
nirvana	𐑯𐑾𐑝𐑭𐑯𐑩	nɪəvɑːnə	RRP	1	𐑯𐑽𐑝𐑭𐑯𐑩	nɪəRˈvɑːnə	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑯𐑽𐑝𐑭𐑯𐑩
o'er	𐑷	ɔː	RRP	1	𐑴𐑼	ˈəʊəR	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑴𐑼
pattern	𐑐𐑨𐑑𐑯	patn	RRP	1	𐑐𐑨𐑑𐑼𐑯	ˈpætəRn	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑐𐑨𐑑𐑼𐑯
postern	𐑐𐑪𐑕𐑑𐑯	pɒstn	RRP	1	𐑐𐑪𐑕𐑑𐑼𐑯	ˈpɒstəRn	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑐𐑪𐑕𐑑𐑼𐑯
purely	𐑐𐑘𐑷𐑤𐑦	pjɔːli	RRP	1	𐑐𐑘𐑫𐑼𐑤𐑦	ˈpjʊəRli	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑐𐑘𐑫𐑼𐑤𐑦
sergeant	𐑕𐑭𐑡𐑩𐑯𐑑	sɑːdʒənt	RRP	1	𐑕𐑸𐑡𐑩𐑯𐑑	ˈsɑːRdʒənt	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑕𐑸𐑡𐑩𐑯𐑑
sister-in-law	𐑕𐑦𐑕𐑑𐑩𐑦𐑯𐑤𐑷	sɪstəɪnlɔː	RRP	1	𐑕𐑦𐑕𐑑𐑼-𐑦𐑯-𐑤𐑷	ˈsɪstər-ɪn-lɔː	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑕𐑦𐑕𐑑𐑼-𐑦𐑯-𐑤𐑷
sorghum	𐑕𐑷𐑜𐑩𐑥	sɔɡəm	RRP	1	𐑕𐑹𐑜𐑩𐑥	ˈsɔːRɡəm	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑕𐑹𐑜𐑩𐑥
sortie	𐑕𐑷𐑑𐑦	sɔti	RRP	1	𐑕𐑹𐑑𐑦	ˈsɔːRti	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑕𐑹𐑑𐑦
tiresome	𐑑𐑲𐑩𐑕𐑩𐑥	taɪəsəm	RRP	1	𐑑𐑲𐑼𐑕𐑩𐑥	ˈtaɪəRsəm	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑑𐑲𐑼𐑕𐑩𐑥
underhand	𐑳𐑯𐑛𐑩𐑨𐑯𐑛	ʌndəænd	RRP	1	𐑳𐑯𐑛𐑼𐑣𐑨𐑯𐑛	ˈʌndəRhænd	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑳𐑯𐑛𐑼𐑣𐑨𐑯𐑛
wireless	𐑢𐑲𐑩𐑤𐑩𐑕	waɪələs	RRP	1	𐑢𐑲𐑼𐑤𐑩𐑕	ˈwaɪəRləs	r_gap:spelling=1,ipa=0; missing_r:spelling_has_r_but_shaw_has_none; shave_says:𐑢𐑲𐑼𐑤𐑩𐑕
diarrhea	𐑛𐑲𐑼𐑰𐑩	daɪəriːə	RRP	3	𐑛𐑲𐑼𐑾	ˌdaɪəˈrɪə	ml_disagrees:𐑛𐑲𐑼𐑦ː𐑩; r_gap:spelling=2,ipa=1; shave_says:𐑛𐑲𐑼𐑾
actually	𐑨𐑒𐑖𐑫𐑼𐑤𐑦	ˈakʃʊəli	RRP	5	𐑨𐑒𐑗𐑫𐑩𐑤𐑦	ˈæktʃuəli	ml_disagrees:𐑨𐑒𐑖𐑫𐑩𐑤𐑦; shave_says:𐑨𐑒𐑗𐑫𐑩𐑤𐑦
bayonet	𐑚𐑱𐑩𐑯𐑦𐑑	ˈbeɪənɪt	RRP	5	𐑚𐑱𐑩𐑯𐑧𐑑	ˈbeɪənet	ml_disagrees:𐑚𐑱𐑩𐑯𐑩𐑑; shave_says:𐑚𐑱𐑩𐑯𐑧𐑑
